machine,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY
borax,0.079937,0.079935,0.206776,0.112722,0.126869,0.224797,0.336321,0.381281,0.123952,0.156884,0.163696,0.017134,0.017788,0.001834,0.006567,0.046896,0.307565,0.138562,0.324750,0.028390,0.325286,0.348161,0.215233,0.267203,0.343715,0.037089,0.267448,0.707499,1.065507,0.100769,0.032484,0.173788,0.929277,0.831765,0.008915,0.014010,0.235544,0.525960,0.682048,0.031626,0.213640,0.280729,0.220886,0.290241,0.213612,0.038440,0.226271,0.147801,0.483976,0.105023,0.339057,0.342401,0.032056,0.147683,0.300463,0.335828,0.022904,0.341281,0.390045,0.003107,0.010144,0.015601,0.160228,0.160124,0.414747,0.226128,0.254692,0.520549,0.675995,0.765393,0.326690,0.373771,0.323683,0.034247,0.034928,0.003682,0.013617,0.093496,0.971356,0.291632,0.650614,0.057008,0.653365,0.717204,0.434910,0.667473,1.430094,0.074999,0.559605,2.223900,3.372282,0.205611,0.071376,0.347198,2.602240,2.530502,0.018724,0.027006,0.485908,1.060385,1.640085,0.068918,0.432853,0.563590,0.447701,0.581175,0.431335,0.079024,0.455979,0.338914,1.443290,0.209480,0.675892,0.684595,0.064394,0.299896,0.682288,0.667555,0.045891,0.722647,0.825462,0.006215,0.020418,0.031316,0.329607,0.329272,0.848720,0.452212,0.516965,2.181904,1.354017,1.532114,1.045666,1.506944,0.626368,0.068517,0.069219,0.007418,0.029068,0.186534,1.943581,1.195729,1.343654,0.114258,1.349035,2.148077,1.276409,1.439364,2.915973,0.201490,2.425370,7.039165,10.799384,0.475698,0.152347,1.030344,8.201472,9.212823,0.040922,0.062255,1.107769,2.184961,3.343708,0.146159,1.283012,1.168497,0.934645,1.200855,1.275739,0.217894,0.912543,0.726909,3.255106,0.421894,1.333273,1.368400,0.130703,0.611001,2.636068,1.329415,0.093381,1.510531,1.756820,0.012442,0.040945,0.065983
boraxo,0.087683,0.087457,0.135498,0.163134,0.056682,0.248272,0.231296,0.232636,0.133851,0.171004,0.098068,0.010934,0.010947,0.002185,0.008812,0.027344,0.383720,0.177396,0.353321,0.043746,0.355285,0.363452,0.263793,0.404875,0.484940,0.086306,0.353149,0.754946,1.104695,0.132710,0.034135,0.204873,1.014709,0.873694,0.009254,0.021169,0.273680,0.571070,0.785590,0.034048,0.262311,0.317820,0.349148,0.317185,0.262031,0.040387,0.317716,0.187746,0.565959,0.140032,0.371492,0.405212,0.035657,0.211124,0.380273,0.450118,0.043822,0.526309,0.590006,0.005509,0.009390,0.017607,0.181687,0.179863,0.276885,0.327056,0.115295,0.648402,0.489405,0.490671,0.359817,0.436585,0.195660,0.021866,0.021895,0.004616,0.018805,0.054648,0.817216,0.423273,0.737323,0.087500,0.742314,0.937029,0.571813,0.826016,1.148877,0.174502,0.803819,4.878812,7.296483,0.293866,0.128682,0.452627,3.039022,6.270775,0.029418,0.044442,0.513137,1.166081,2.021011,0.124906,0.561898,0.663440,0.713048,0.658555,0.558164,0.093381,0.636190,0.401409,1.298593,0.280223,0.743279,0.808744,0.072279,0.427744,0.941425,0.891295,0.087906,1.112087,1.249165,0.011354,0.019684,0.043083,0.448059,0.438633,0.569431,0.656122,0.262481,1.683957,1.039701,1.034599,1.152721,1.166432,0.427447,0.043726,0.043767,0.009658,0.049048,0.109262,1.657553,1.078165,1.922211,0.175614,1.928397,2.672204,1.468401,1.722018,2.515831,0.351856,2.051631,20.940135,32.655366,0.605267,0.357723,1.215691,11.818472,34.329269,0.079101,0.119873,1.249212,2.985112,4.523963,0.351744,1.490469,1.734829,1.701396,1.708308,1.456416,0.212096,1.269813,0.828797,2.848923,0.562724,1.484497,1.617312,0.151644,0.858759,2.359149,1.749775,0.180180,2.322387,2.634420,0.024076,0.041912,0.105088
corona,0.006108,0.011778,0.007054,0.005252,0.003510,0.011645,0.012501,0.014783,0.004054,0.009707,0.008077,0.124597,,,,,0.015785,0.010011,0.018392,,0.015143,0.018684,0.012822,0.011394,0.022476,0.003850,0.015911,0.007945,0.010944,0.027310,0.030476,0.015012,0.040236,0.008791,0.009357,0.028182,0.011849,0.022268,0.033459,0.030092,0.013208,0.015245,,0.015386,0.012127,,0.014024,,0.015854,0.004327,0.009365,0.009306,,0.010793,0.019256,0.009164,0.004709,,,,0.002757,0.003289,0.009369,0.012984,0.009325,0.011136,0.004944,0.018091,0.020120,0.019984,0.007191,0.014793,0.013364,0.189099,,,,,0.026237,0.015344,0.025147,,0.025097,0.032222,0.020358,0.019784,0.029672,0.004960,0.026512,0.014763,0.020792,0.033195,0.037030,0.023969,0.096332,0.016404,0.011639,0.024698,0.018380,0.037654,0.057054,0.033446,0.019811,0.022770,,0.023015,0.019707,,0.007499,,0.024895,0.007440,0.015300,0.015457,,0.017335,0.028374,0.009953,0.008827,,,,0.003234,0.004397,0.016800,0.020528,0.015127,0.015519,0.017726,0.030819,0.034023,0.034323,0.015956,0.024200,0.018636,0.330637,,,,,0.047107,0.025994,0.044214,,0.044237,0.058625,0.033824,0.031663,0.052095,0.005598,0.046142,0.035752,0.052025,0.047249,0.055339,0.039826,0.252204,0.039615,0.013820,0.046382,0.033909,0.068730,0.103774,0.049846,0.034673,0.039690,,0.040736,0.034398,,0.011059,,0.043262,0.012759,0.026880,0.026845,,0.029676,0.049406,0.013965,0.004216,,,,0.004322,0.005635
dane,0.053227,0.053200,0.081445,0.101385,0.030300,0.158798,0.137655,0.137770,0.059034,0.113303,0.060752,0.006611,0.006990,0.000924,0.005127,0.016859,0.220595,0.104163,0.211835,0.026472,0.216275,0.239257,0.155492,0.197860,0.283957,0.015893,0.211396,0.344697,0.516337,0.081850,0.015592,0.119481,0.657424,0.413636,0.004486,0.012355,0.109516,0.368414,0.432302,0.014904,0.155566,0.190470,0.196441,0.190681,0.155286,0.021230,0.106778,0.085132,0.337410,0.044609,0.112959,0.113549,0.017902,0.142897,0.225614,0.157878,0.013280,0.307119,0.336144,0.002433,0.005424,0.010581,0.106746,0.106664,0.165808,0.203206,0.060818,0.449576,0.286120,0.286243,0.143656,0.331969,0.114018,0.013223,0.013669,0.002641,0.010188,0.033390,0.586556,0.272886,0.431207,0.053008,0.439320,0.665479,0.345912,0.464504,0.627719,0.041615,0.549247,1.351830,2.105002,0.165142,0.040339,0.260143,1.720424,1.857126,0.010499,0.023933,0.219722,0.722750,0.886450,0.038435,0.349328,0.385801,0.394096,0.384552,0.350662,0.055401,0.213997,0.194023,0.694438,0.089404,0.226049,0.227165,0.035896,0.290436,0.634791,0.312569,0.027175,0.648741,0.708883,0.004969,0.011362,0.021466,0.259469,0.259156,0.337285,0.406423,0.137629,1.190810,0.578631,0.578554,0.455035,0.880239,0.238821,0.026436,0.026983,0.005767,0.030659,0.066466,1.137539,0.660418,1.305959,0.106063,1.330980,2.085127,0.967780,0.866748,1.273596,0.091469,1.255960,4.096583,6.645870,0.357990,0.089882,0.734204,7.455237,6.112398,0.022802,0.065754,0.624344,2.172299,2.560442,0.085754,0.983355,1.148100,1.033413,1.167475,0.976940,0.126355,0.429186,0.410599,1.463810,0.191251,0.452282,0.454321,0.077834,0.582060,1.397988,0.614213,0.072791,1.352132,1.499128,0.010337,0.022998,0.063329
mammoth,0.027814,0.029246,0.114412,0.134595,0.131786,0.143209,0.392132,0.392331,0.078373,0.092178,0.132643,0.020225,0.020209,0.001112,0.003878,0.052811,0.214521,0.097587,0.120395,0.017847,0.119929,0.182962,0.108567,0.223637,0.296136,0.029746,0.170846,0.492366,0.754213,0.115227,0.021377,0.090173,0.396112,0.596248,0.005589,0.011983,0.130278,0.223742,0.416542,0.019997,0.126785,0.101414,0.124612,0.108883,0.128883,0.048893,0.179065,0.264829,0.465489,0.061157,0.229321,0.227829,0.031776,0.166791,0.232923,0.262978,0.024118,0.410420,0.459326,0.002903,0.003404,0.005890,0.101886,0.120705,0.238265,0.268720,0.277406,0.379727,0.783848,0.785094,0.219800,0.285021,0.249098,0.040269,0.040541,0.002046,0.015806,0.105600,0.435362,0.303688,0.484166,0.036058,0.523252,0.465368,0.443177,0.435336,0.594799,0.059015,0.605664,1.535910,2.350608,0.238297,0.049020,0.443703,2.239419,1.868733,0.012226,0.036142,0.321086,0.738550,1.193904,0.045108,0.494725,0.456731,0.536672,0.467811,0.485216,0.128199,0.357310,0.442032,0.921216,0.128423,0.458495,0.455340,0.063787,0.329030,0.609485,0.526598,0.054066,0.867871,0.971469,0.005851,0.006658,0.022508,0.332786,0.337001,0.476398,0.537459,0.593904,0.741910,1.693859,1.808623,1.277590,0.503612,0.548305,0.080853,0.081440,0.004056,0.035727,0.210590,0.882507,0.555785,1.399505,0.090532,1.416255,1.034337,0.891653,0.896837,1.173884,0.118590,1.121577,8.266427,13.479947,0.460990,0.158599,0.838902,10.007600,10.547757,0.041934,0.087395,0.711197,2.210817,2.895909,0.171117,0.986039,1.318112,1.413952,1.374628,0.994258,0.232875,0.711154,0.838370,1.802172,0.270098,0.916354,0.910396,0.129369,0.684520,1.267751,1.026356,0.109278,1.805934,2.025125,0.016758,0.031613,0.069346
matrix,0.000944,0.004118,0.000826,0.001122,0.001088,0.001518,0.004063,0.004071,0.000585,0.001133,0.001944,0.026461,,,,,0.009547,0.001222,0.003559,,0.003570,0.002758,0.002016,0.004798,0.003291,0.000366,0.002090,0.004072,0.001192,0.015519,0.006739,0.002632,0.011240,0.000857,0.007134,0.005898,0.002201,0.006403,0.008687,0.005240,0.002046,0.003343,,0.003361,0.002011,,0.000638,,0.002557,0.000477,0.005018,0.004624,,0.001134,0.006301,0.003536,0.000634,,,,0.000373,0.000386,0.001289,0.001577,0.001595,0.001345,0.001312,0.003413,0.005503,0.005512,0.001259,0.002466,0.002788,0.048690,,,,,0.019071,0.001961,0.004750,,0.004752,0.004925,0.002682,0.003549,0.006607,0.000568,0.003584,0.002013,0.002983,0.015185,0.009401,0.003517,0.019315,0.001944,0.002513,0.011369,0.003339,0.008718,0.012272,0.007856,0.002704,0.004387,,0.004386,0.002709,,0.001301,,0.005297,0.000681,0.003320,0.002949,,0.001932,0.006633,0.001143,0.000823,,,,0.000453,0.000481,0.002492,0.002512,0.002947,0.001777,0.001930,0.007832,0.008461,0.008469,0.003017,0.005579,0.003677,0.092403,,,,,0.037926,0.006190,0.008531,,0.008567,0.011143,0.009129,0.006496,0.012321,0.001027,0.012019,0.004887,0.007479,0.026378,0.013181,0.009587,0.052521,0.005942,0.003326,0.019616,0.006762,0.015019,0.022006,0.008267,0.009070,0.007835,,0.007805,0.009196,,0.002167,,0.010470,0.001161,0.006299,0.005639,,0.003765,0.012749,0.002031,0.001201,,,,0.000611,0.000701
tioga,0.001857,0.002592,0.002530,0.009723,0.001763,0.005928,0.005248,0.009033,0.005406,0.007242,0.002739,0.101219,,,,,0.006972,0.010415,0.010788,,0.009553,0.007605,0.006055,0.008777,0.010950,0.000997,0.008057,0.003491,0.004966,0.025803,0.015250,0.010369,0.027741,0.003695,0.003944,0.035191,0.005609,0.011209,0.019635,0.015633,0.009346,0.009214,,0.009202,0.006055,,0.002058,,0.007766,0.001666,0.007289,0.004397,,0.003639,0.012774,0.002217,0.000824,,,,0.006133,0.000809,0.005165,0.005958,0.004278,0.002810,0.002763,0.008772,0.010065,0.011473,0.003129,0.006672,0.004864,0.159570,,,,,0.013000,0.007766,0.014721,,0.014741,0.015614,0.013328,0.009826,0.023639,0.001385,0.014662,0.007822,0.011281,0.033229,0.032405,0.013110,0.062105,0.009973,0.007179,0.042315,0.010814,0.024081,0.033467,0.029868,0.011358,0.013286,,0.013264,0.010929,,0.003415,,0.013365,0.003118,0.007488,0.007482,,0.006294,0.015781,0.009654,0.005051,,,,0.000895,0.001229,0.009716,0.010687,0.007686,0.003482,0.008910,0.016403,0.016379,0.020325,0.007674,0.012099,0.007277,0.275428,,,,,0.025947,0.014452,0.026569,,0.026450,0.031737,0.020250,0.018376,0.030718,0.002050,0.027567,0.019767,0.029453,0.064610,0.059374,0.024106,0.160974,0.022289,0.012352,0.066625,0.021830,0.043333,0.060846,0.054389,0.020052,0.023747,,0.023717,0.020087,,0.006050,,0.024871,0.005495,0.014163,0.014149,,0.011308,0.029201,0.008857,0.001983,,,,0.001149,0.001759
tuolumne,0.005406,0.001400,0.001421,0.002523,0.002136,0.004982,0.004834,0.004817,0.000798,0.002032,0.002512,0.010803,,,,,0.003610,0.005038,0.003793,,0.005489,0.004992,0.009035,0.002979,0.010586,0.000994,0.002629,0.002048,0.003099,0.014521,0.011652,0.008182,0.017709,0.002151,0.004391,0.011081,0.005093,0.010886,0.020164,0.009908,0.002056,0.005008,,0.007027,0.002072,,0.001491,,0.003572,0.000660,0.001920,0.001856,,0.001935,0.004315,0.005584,0.001345,,,,0.000832,0.000580,0.002313,0.002229,0.002299,0.003381,0.002148,0.003862,0.010444,0.007074,0.001708,0.003066,0.003881,0.012014,,,,,0.005940,0.003023,0.005632,,0.005735,0.007741,0.003897,0.004740,0.008904,0.001168,0.005030,0.004206,0.008777,0.019185,0.018327,0.007530,0.025740,0.004974,0.004824,0.016735,0.007491,0.017035,0.025191,0.015669,0.007276,0.005297,,0.005302,0.003630,,0.002247,,0.005555,0.001190,0.003369,0.003370,,0.003093,0.006930,0.005965,0.002333,,,,0.000882,0.000833,0.004355,0.003546,0.003297,0.005915,0.003091,0.006319,0.011858,0.011801,0.003571,0.004984,0.005992,0.007449,,,,,0.010767,0.005617,0.010178,,0.010379,0.013234,0.008011,0.007731,0.009521,0.001539,0.009832,0.009109,0.013334,0.026314,0.032008,0.014166,0.079355,0.010618,0.007696,0.030812,0.011508,0.021153,0.034644,0.030078,0.007893,0.009124,,0.009200,0.007975,,0.003288,,0.009110,0.002240,0.006056,0.006004,,0.005152,0.011284,0.003385,0.004510,,,,0.001220,0.001267
corona-cpu,0.033043,0.036231,0.435578,0.134518,0.131807,0.147103,0.373563,0.342348,0.197409,0.112969,0.179768,0.019056,0.019114,0.004936,0.015540,0.052707,0.192312,0.195289,0.140901,0.022323,0.150521,0.206077,0.123729,0.198684,0.329264,0.172859,0.213636,0.683306,1.035003,0.085387,0.044828,0.113732,0.422833,0.784740,0.011031,0.027595,0.240538,0.282157,0.516994,0.044520,0.091745,0.102295,0.462779,0.104494,0.112511,0.090141,0.234810,0.304058,0.306418,0.244054,0.230261,0.225741,0.097201,0.166205,0.413502,0.162791,0.023414,0.429457,0.461120,0.011515,0.004315,0.006318,0.118152,0.155776,0.886070,0.269496,0.263081,0.400523,0.750886,0.677108,0.531778,0.460579,0.366515,0.038086,0.037988,0.009826,0.032855,0.104435,0.384287,0.456954,0.469032,0.032427,0.517603,0.486091,0.561937,0.343095,0.649543,0.344304,0.592909,1.965564,2.940049,0.182671,0.090265,0.575663,1.628272,2.278964,0.022021,0.063412,0.493012,0.889417,1.349151,0.090784,0.507034,0.455136,1.071033,0.453415,0.478791,0.205745,0.441630,0.610079,0.623689,0.487502,0.446982,0.447296,0.142893,0.332295,0.887083,0.323038,0.061135,0.906843,0.980521,0.022953,0.008155,0.025351,0.369674,0.387370,1.777363,0.540551,0.585123,0.816032,1.513786,1.370305,1.702465,0.557902,0.748333,0.076651,0.076392,0.019602,0.071736,0.210067,0.763942,0.809984,1.519250,0.080474,1.584413,1.124918,1.012868,0.760354,1.287988,0.686224,1.195082,10.014769,17.276367,0.315933,0.228596,1.229974,12.979979,17.257535,0.053648,0.167652,1.239151,3.006873,4.151969,0.215939,0.983902,1.421054,2.171836,1.381097,1.077626,0.409584,0.874487,1.210700,1.358981,0.978835,0.894221,0.892749,0.295249,0.683887,1.702327,0.632749,0.119263,1.889651,2.048428,0.048961,0.033737,0.074695
tioga-cpu,0.032516,0.046814,0.455700,0.129471,0.128820,0.080006,0.353694,0.341276,0.199644,0.061779,0.155316,0.020302,0.018400,0.004264,0.019243,0.054841,0.116446,0.164682,0.157627,0.018173,0.179725,0.146118,0.119453,0.147764,0.176033,0.160423,0.124699,0.732179,1.103164,0.073350,0.047837,0.135283,0.445640,0.832772,0.011955,0.031363,0.252759,0.272602,0.557542,0.047733,0.095212,0.109228,0.495206,0.115595,0.097138,0.074208,0.252252,0.211461,0.214898,0.255961,0.216177,0.214229,0.093322,0.194348,0.267513,0.159230,0.034795,0.473078,0.502669,0.012316,0.004753,0.007576,0.066130,0.068964,0.912635,0.259223,0.235602,0.208932,0.706212,0.664355,0.541511,0.168544,0.310957,0.036666,0.036958,0.008540,0.030708,0.110341,0.341199,0.334726,0.289314,0.023933,0.329976,0.338066,0.248097,0.304879,0.448396,0.321909,0.285744,2.091902,3.152332,0.147906,0.096668,0.239957,1.132381,2.412246,0.023178,0.062880,0.464935,0.567521,1.157131,0.096568,0.201100,0.218214,0.987407,0.235428,0.197296,0.141649,0.467821,0.457694,0.474845,0.512065,0.385998,0.385951,0.132726,0.399189,0.557738,0.320051,0.050517,0.999765,1.062388,0.024587,0.008927,0.013537,0.176543,0.193974,1.825316,0.518215,0.481381,0.631111,1.412601,1.325847,1.563885,0.458728,0.626197,0.073174,0.073823,0.017056,0.052125,0.218689,0.839726,0.691185,0.764126,0.047877,0.841613,0.971613,0.647737,0.641267,1.051267,0.643106,0.793897,6.076149,9.111464,0.303287,0.195327,0.607603,4.620738,7.144596,0.047958,0.127525,0.966364,1.346780,2.435058,0.194917,0.571172,0.654345,2.012073,0.657666,0.592027,0.313176,0.909177,0.952744,1.025972,1.024835,0.771977,0.771858,0.262753,0.786702,1.184245,0.617550,0.102125,2.083533,2.238421,0.049134,0.017334,0.035698
