machine,Kernel,Kernel,Basic_ARRAY_OF_PTRS,Basic_COPY8,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_EMPTY,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Basic_MULTI_REDUCE,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_EDGE3D,Apps_ENERGY,Apps_FEMSWEEP,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DEA,Apps_MASS3DPA,Apps_MATVEC_3D_STENCIL,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Apps_ZONAL_ACCUMULATION_3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Algorithm_ATOMIC,Algorithm_HISTOGRAM,Comm_HALO_PACKING,Comm_HALO_PACKING_FUSED
borax,Base_Seq,default,0.231697,0.143376,0.080005,0.080018,0.038044,0.206513,0.112747,0.126948,0.224170,0.336348,0.381357,0.123703,0.158226,0.163664,0.017127,0.017562,0.001832,0.006508,0.046897,0.034288,0.314445,0.137962,0.324959,0.028319,0.325706,0.350946,0.215152,0.269627,0.347818,0.036900,0.267605,0.708004,1.065741,0.100498,0.032480,0.173768,0.926435,0.831353,0.008807,0.013789,0.235393,0.526168,0.679191,0.032057,0.213674,0.280965,0.219626,0.290727,0.213517,0.039286,0.226739,0.147529,5.241889,0.485875,0.000000,0.104643,0.331937,0.342284,0.000000,0.031919,0.486421,0.147581,0.301099,0.335607,0.054123,0.022893,0.341016,0.389770,0.003105,0.010164,0.015618,Not run,0.023186,0.039153,Not run
borax,Base_Seq,default,0.231357,0.141816,0.079973,0.080133,0.038088,0.206650,0.112739,0.127183,0.224245,0.336191,0.381157,0.123385,0.156087,0.163590,0.017120,0.018114,0.001831,0.006488,0.047008,0.034287,0.329391,0.138100,0.325063,0.028326,0.325678,0.351306,0.215207,0.266572,0.358852,0.036931,0.267508,0.707669,1.065358,0.100503,0.032466,0.173390,0.926168,0.831278,0.008807,0.015084,0.235302,0.526113,0.679104,0.031598,0.213623,0.280790,0.219933,0.290679,0.213531,0.039326,0.226869,0.148150,5.242312,0.482740,0.000000,0.104722,0.343333,0.342302,0.000000,0.031909,0.484176,0.147616,0.300726,0.335679,0.054115,0.022897,0.341113,0.389765,0.003107,0.010162,0.015600,Not run,0.023204,0.039259,Not run
borax,Base_Seq,default,0.231357,0.141534,0.079949,0.079949,0.038045,0.206615,0.112889,0.126520,0.226173,0.335929,0.381021,0.123283,0.157682,0.163677,0.017202,0.017448,0.001832,0.006659,0.046503,0.034295,0.319119,0.139702,0.323729,0.028370,0.323853,0.344324,0.215203,0.262142,0.347624,0.036901,0.267328,0.705560,1.064442,0.100292,0.032406,0.173505,0.938827,0.830534,0.008789,0.013878,0.234204,0.526526,0.684421,0.031598,0.214227,0.280962,0.225618,0.289372,0.213704,0.039172,0.224263,0.147793,5.241763,0.485025,0.000000,0.104772,0.332036,0.342339,0.000000,0.031891,0.492412,0.147830,0.300365,0.331970,0.054148,0.022944,0.341464,0.389881,0.003117,0.010116,0.015614,Not run,0.023052,0.039016,Not run
borax,Base_Seq,default,0.231382,0.151108,0.079875,0.079721,0.038043,0.207361,0.112697,0.126796,0.224049,0.336119,0.381193,0.122695,0.156873,0.163861,0.017118,0.018105,0.001833,0.006514,0.046929,0.034292,0.338064,0.139032,0.325234,0.028335,0.325024,0.342669,0.215314,0.271780,0.380440,0.037266,0.267216,0.707326,1.064267,0.100562,0.032422,0.173647,0.927313,0.831312,0.008798,0.013952,0.237226,0.525087,0.686386,0.031571,0.213268,0.280091,0.219614,0.289997,0.213752,0.034609,0.226458,0.148138,5.242975,0.494499,0.000000,0.105401,0.343202,0.342069,0.000000,0.032359,0.494570,0.147729,0.300035,0.336037,0.054137,0.022896,0.341322,0.391770,0.003094,0.010115,0.015557,Not run,0.023234,0.039665,Not run
borax,Base_Seq,default,0.231467,0.142146,0.080007,0.080003,0.038041,0.206646,0.112715,0.126747,0.224450,0.336261,0.381027,0.123831,0.155942,0.163744,0.017171,0.017698,0.001832,0.006422,0.046716,0.034293,0.313733,0.137951,0.325019,0.028207,0.325787,0.351413,0.215175,0.261170,0.367605,0.036859,0.267814,0.706128,1.066655,0.100281,0.032401,0.173310,0.926449,0.830731,0.008789,0.014029,0.234339,0.526768,0.677802,0.031574,0.213552,0.281041,0.219810,0.290874,0.213500,0.039765,0.224239,0.147720,5.239538,0.488535,0.000000,0.104641,0.343491,0.341955,0.000000,0.032069,0.483851,0.147618,0.300368,0.331801,0.054092,0.022896,0.341088,0.389982,0.003104,0.010161,0.015619,Not run,0.023186,0.039505,Not run
borax,Base_Seq,default,0.231323,0.141783,0.080044,0.079986,0.038043,0.206686,0.112682,0.127016,0.224199,0.336520,0.381439,0.123603,0.157242,0.163627,0.017120,0.017610,0.001832,0.006482,0.046842,0.034289,0.305102,0.138132,0.325156,0.028361,0.325998,0.350959,0.215081,0.271311,0.347619,0.036925,0.267585,0.708030,1.066251,0.100727,0.032787,0.176426,0.926101,0.831436,0.008803,0.013932,0.235076,0.526182,0.680818,0.031583,0.213597,0.281269,0.219754,0.290770,0.213474,0.039255,0.226604,0.147672,5.242810,0.481426,0.000000,0.104748,0.340651,0.342455,0.000000,0.031934,0.486152,0.147690,0.300171,0.336346,0.054113,0.022885,0.341325,0.389699,0.003097,0.010157,0.015656,Not run,0.023174,0.039076,Not run
borax,Base_Seq,default,0.231125,0.143895,0.079938,0.080021,0.038083,0.206825,0.112717,0.126915,0.224254,0.336199,0.381085,0.124524,0.156050,0.163588,0.017126,0.018104,0.001827,0.006482,0.046989,0.034297,0.306036,0.138042,0.324946,0.028406,0.325521,0.351352,0.215338,0.268633,0.352975,0.036929,0.267639,0.708257,1.065740,0.100568,0.032463,0.173440,0.926084,0.834434,0.008804,0.013898,0.235473,0.526414,0.679283,0.031596,0.213558,0.280757,0.219690,0.290832,0.213486,0.039123,0.226633,0.147758,5.243526,0.476337,0.000000,0.104895,0.335201,0.342861,0.000000,0.031912,0.484964,0.148036,0.300270,0.335711,0.054088,0.022886,0.341503,0.389620,0.003095,0.010159,0.015599,Not run,0.023226,0.039349,Not run
borax,Base_Seq,default,0.231642,0.144901,0.079945,0.079927,0.038046,0.208351,0.112678,0.126812,0.226496,0.335959,0.381155,0.123827,0.157779,0.163668,0.017144,0.017405,0.001835,0.006614,0.046777,0.034286,0.313541,0.139787,0.323866,0.028394,0.323341,0.344903,0.215247,0.269456,0.344252,0.036949,0.267259,0.707430,1.065548,0.102501,0.032444,0.173566,0.938339,0.831646,0.008818,0.013928,0.235041,0.525978,0.687083,0.031587,0.213923,0.280686,0.225784,0.289047,0.213790,0.039153,0.226592,0.147842,5.241708,0.483915,0.000000,0.104767,0.333121,0.342512,0.000000,0.031973,0.494124,0.147715,0.300319,0.336273,0.054149,0.022935,0.341367,0.389735,0.003129,0.010090,0.015600,Not run,0.023054,0.039011,Not run
borax,Base_Seq,default,0.230943,0.150839,0.079693,0.079705,0.038089,0.206707,0.112719,0.126775,0.224138,0.336381,0.381338,0.123484,0.156840,0.163978,0.017121,0.018117,0.001830,0.006499,0.046919,0.034290,0.312784,0.139034,0.324087,0.028331,0.325155,0.342660,0.215360,0.268699,0.331924,0.037151,0.267078,0.707353,1.064841,0.100681,0.032426,0.173524,0.927402,0.831332,0.008801,0.014049,0.236596,0.524756,0.686618,0.031570,0.213578,0.279950,0.219476,0.289861,0.213713,0.034561,0.226377,0.147797,5.243411,0.486071,0.000000,0.104873,0.335023,0.342338,0.000000,0.032358,0.492908,0.147613,0.299574,0.335938,0.054153,0.022912,0.341384,0.390220,0.003103,0.010117,0.015562,Not run,0.023225,0.039653,Not run
borax,Base_Seq,default,0.231888,0.143610,0.080135,0.080005,0.038044,0.206534,0.112732,0.126618,0.224203,0.336164,0.381051,0.123438,0.156159,0.163599,0.017156,0.017557,0.001832,0.006443,0.046970,0.034301,0.301290,0.137927,0.325034,0.028427,0.325825,0.350908,0.215493,0.266500,0.347758,0.036939,0.267800,0.707563,1.066070,0.100512,0.032546,0.173347,0.927343,0.832138,0.008810,0.013864,0.235171,0.526156,0.679071,0.031653,0.213884,0.281139,0.219816,0.290907,0.213772,0.040113,0.226948,0.147694,5.244123,0.485671,0.000000,0.108026,0.343409,0.342302,0.000000,0.032126,0.486183,0.147655,0.300215,0.335993,0.054139,0.022920,0.341178,0.390528,0.003097,0.010208,0.015610,Not run,0.023238,0.039369,Not run
