machine,Kernel,Kernel,Basic_ARRAY_OF_PTRS,Basic_COPY8,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_EMPTY,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Basic_MULTI_REDUCE,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_EDGE3D,Apps_ENERGY,Apps_FEMSWEEP,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DEA,Apps_MASS3DPA,Apps_MATVEC_3D_STENCIL,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Apps_ZONAL_ACCUMULATION_3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Algorithm_ATOMIC,Algorithm_HISTOGRAM,Comm_HALO_PACKING,Comm_HALO_PACKING_FUSED
corona,Base_Seq,default,0.533119,0.136779,0.115599,0.149651,0.152942,0.885896,0.268938,0.260317,0.405243,0.746433,0.669661,0.531187,0.446872,0.366341,0.037635,0.037995,0.009862,0.032232,0.104313,0.083667,0.383087,0.445715,0.359363,0.032931,0.368003,0.457704,0.536289,0.339015,0.643845,0.343326,0.590866,1.953083,2.922091,0.170532,0.089229,0.557540,1.324024,2.267481,0.021896,0.059746,0.474742,0.799564,1.140347,0.090351,0.454052,0.292425,0.960338,0.289622,0.470901,0.206624,0.444450,0.599598,12.585880,0.616236,0.000000,0.485511,0.445070,0.442861,0.000000,0.144372,0.789443,0.327859,0.776941,0.322814,0.117573,0.052728,0.904169,0.973255,0.022826,0.008058,0.020757,Not run,0.053159,0.031840,Not run
corona,Base_Seq,default,0.537125,0.136389,0.114187,0.155442,0.153608,0.889933,0.270905,0.264333,0.395565,0.757425,0.682032,0.534243,0.469457,0.367523,0.038315,0.038351,0.009815,0.033602,0.105114,0.083644,0.385676,0.449249,0.480317,0.032926,0.522367,0.485001,0.556390,0.335372,0.654850,0.345696,0.606315,1.975509,2.968929,0.174151,0.090748,0.655535,2.172743,2.276601,0.022145,0.070846,0.518140,1.046075,1.499770,0.090780,0.625538,0.504181,1.033037,0.444445,0.529364,0.205089,0.436746,0.608965,12.676735,0.628666,0.000000,0.489632,0.448348,0.449456,0.000000,0.141465,0.799240,0.332643,0.806041,0.321809,0.117040,0.055295,0.912562,0.982763,0.023148,0.008266,0.020747,Not run,0.053123,0.031082,Not run
corona,Base_Seq,default,0.541041,0.136203,0.124671,0.162236,0.152667,0.882381,0.268646,0.264593,0.400760,0.748799,0.679632,0.529904,0.465407,0.365682,0.038309,0.037619,0.009802,0.032731,0.103879,0.083561,0.384097,0.475897,0.567415,0.031423,0.662440,0.515568,0.593131,0.354897,0.649935,0.343890,0.581547,1.968099,2.929128,0.203329,0.090817,0.513915,1.388050,2.292810,0.022023,0.059645,0.486155,0.822613,1.407337,0.091221,0.441513,0.568802,1.219723,0.626178,0.436107,0.205522,0.443695,0.621673,12.679008,0.626166,0.000001,0.487364,0.447527,0.449571,0.000000,0.142841,0.798516,0.336384,1.078266,0.324492,0.117168,0.075383,0.903798,0.985544,0.022886,0.008142,0.034549,Not run,0.055013,0.031181,Not run
matrix,Base_Seq,default,0.430677,0.149641,0.108477,0.116358,0.066030,0.546973,0.202945,0.221176,0.410100,0.622298,0.460001,0.436695,0.283382,0.266147,0.026894,0.026411,0.007328,0.027108,0.067484,0.054005,0.629297,0.228451,0.427193,0.053093,0.492853,0.522121,0.372812,0.356073,0.666690,0.156669,0.534923,1.493175,2.383253,0.152241,0.059686,0.258389,1.706728,1.863035,0.015340,0.032505,0.278832,0.690015,0.851895,0.059170,0.333915,0.385477,0.529670,0.386705,0.337130,0.095892,0.251793,0.264749,7.166177,0.584709,0.000000,0.281292,0.281286,0.195513,0.000000,0.064048,0.518730,0.288554,0.626655,0.365104,0.052357,0.026883,0.644179,0.713314,0.013410,0.011308,0.021397,Not run,0.047520,0.038824,Not run
matrix,Base_Seq,default,0.440391,0.145608,0.106918,0.115875,0.066066,0.547495,0.202665,0.221782,0.403782,0.553678,0.460232,0.438261,0.283438,0.266302,0.026890,0.026416,0.007301,0.026520,0.067678,0.054072,0.441014,0.238145,0.426552,0.053066,0.487893,0.545279,0.361615,0.353883,0.658711,0.156948,0.543885,1.487846,2.378864,0.152446,0.059885,0.266946,1.692798,1.858800,0.015308,0.032455,0.288732,0.702679,0.897221,0.059125,0.350606,0.381863,0.529786,0.382312,0.346734,0.097335,0.251758,0.267643,7.165155,0.493015,0.000000,0.283713,0.279180,0.195742,0.000000,0.064001,0.519148,0.288607,0.655863,0.365354,0.051747,0.026859,0.644026,0.712935,0.013423,0.011219,0.021194,Not run,0.047302,0.044648,Not run
matrix,Base_Seq,default,0.436389,0.148789,0.111382,0.114663,0.066344,0.547144,0.202581,0.220733,0.406690,0.546702,0.460268,0.438560,0.385657,0.266055,0.026859,0.026403,0.007694,0.027281,0.067474,0.054103,0.515490,0.221031,0.422222,0.053086,0.449429,0.536640,0.363193,0.354717,0.651975,0.157070,0.542579,1.483220,2.357536,0.152377,0.059461,0.277721,1.687985,1.852870,0.015278,0.032316,0.278477,0.685312,0.843621,0.058952,0.359290,0.380596,0.529622,0.381201,0.348233,0.095868,0.251671,0.267208,7.164721,0.485224,0.000000,0.281330,0.312305,0.195567,0.000000,0.063951,0.518468,0.288488,0.648085,0.365082,0.052322,0.026847,0.644742,0.712611,0.014936,0.011243,0.021165,Not run,0.047997,0.038137,Not run
tioga,Base_Seq,default,0.443362,0.130233,0.065748,0.068041,0.162280,0.909687,0.259336,0.236456,0.199270,0.707511,0.664106,0.540049,0.159413,0.310979,0.036602,0.036960,0.008370,0.025708,0.109441,0.117428,0.337273,0.333504,0.283656,0.023952,0.327330,0.322298,0.246951,0.311836,0.453503,0.321238,0.287651,2.094132,3.151608,0.151143,0.096510,0.242333,1.122712,2.414532,0.023166,0.061517,0.467848,0.567913,1.160289,0.096440,0.197530,0.217265,0.987012,0.234907,0.201190,0.138870,0.464964,0.455918,10.970264,0.472904,0.000000,0.512014,0.385885,0.385893,0.000000,0.137854,0.857206,0.400356,0.557878,0.325454,0.080375,0.050652,1.000033,1.062532,0.024603,0.009104,0.014169,Not run,0.013004,0.041151,Not run
tioga,Base_Seq,default,0.398102,0.126004,0.066642,0.069071,0.162202,0.919092,0.259282,0.234518,0.213371,0.705171,0.664333,0.536939,0.170729,0.310990,0.036575,0.036940,0.008891,0.025323,0.109661,0.108171,0.350169,0.335617,0.293008,0.023747,0.330403,0.342366,0.242107,0.296510,0.443619,0.322646,0.281577,2.086076,3.152536,0.146347,0.096694,0.238875,1.139277,2.424197,0.023172,0.065653,0.462343,0.567110,1.157473,0.096425,0.220924,0.221604,0.987610,0.238817,0.204447,0.144318,0.472585,0.454674,10.975461,0.477044,0.000000,0.512120,0.386106,0.386073,0.000000,0.130554,0.850835,0.398482,0.560738,0.316653,0.081954,0.050352,0.999589,1.062200,0.024590,0.008613,0.013263,Not run,0.013634,0.042908,Not run
tioga,Base_Seq,default,0.389626,0.124027,0.066000,0.069780,0.162055,0.909126,0.259052,0.235832,0.214155,0.705955,0.664625,0.547544,0.175490,0.310902,0.036822,0.036973,0.008359,0.041094,0.111921,0.101824,0.336155,0.335058,0.291279,0.024101,0.332194,0.349534,0.255233,0.306292,0.448067,0.321843,0.288004,2.095497,3.152853,0.146227,0.096801,0.238663,1.135154,2.398008,0.023196,0.061470,0.464615,0.567540,1.153632,0.096839,0.184846,0.215773,0.987599,0.232560,0.186252,0.141758,0.465914,0.462491,10.944797,0.474586,0.000000,0.512062,0.386004,0.385886,0.000000,0.129770,0.837677,0.398730,0.554599,0.318045,0.081095,0.050546,0.999674,1.062432,0.024567,0.009064,0.013178,Not run,0.013106,0.040749,Not run
tuolumne,Base_Seq,default,0.548988,0.107991,0.046534,0.045712,0.136287,0.752857,0.227334,0.188297,0.312960,0.576528,0.538017,0.422570,0.207601,0.257875,0.030957,0.034497,0.006368,0.020723,0.091921,0.081470,0.329169,0.274820,0.201432,0.036302,0.229378,0.346471,0.306568,0.413419,0.661362,0.240642,0.530359,1.736773,2.604849,0.144739,0.079995,0.216509,0.816902,1.968083,0.018784,0.049495,0.346576,0.404833,0.997119,0.079683,0.191089,0.174680,0.821850,0.176155,0.209288,0.221877,0.355074,0.999103,8.695422,0.553804,0.000001,0.401602,0.321290,0.322230,0.000000,0.109906,1.311284,0.341958,0.687419,0.279115,0.074946,0.041110,0.812188,0.866277,0.020958,0.006962,0.009382,Not run,0.009335,0.028748,Not run
