machine, rep, sz, n_threads, Basic_ARRAY_OF_PTRS, Basic_COPY8, Basic_DAXPY, Basic_DAXPY_ATOMIC, Basic_EMPTY, Basic_IF_QUAD, Basic_INDEXLIST, Basic_INDEXLIST_3LOOP, Basic_INIT3, Basic_INIT_VIEW1D, Basic_INIT_VIEW1D_OFFSET, Basic_MAT_MAT_SHARED, Basic_MULADDSUB, Basic_NESTED_INIT, Basic_PI_ATOMIC, Basic_PI_REDUCE, Basic_REDUCE3_INT, Basic_REDUCE_STRUCT, Basic_TRAP_INT, Basic_MULTI_REDUCE, Lcals_DIFF_PREDICT, Lcals_EOS, Lcals_FIRST_DIFF, Lcals_FIRST_MIN, Lcals_FIRST_SUM, Lcals_GEN_LIN_RECUR, Lcals_HYDRO_1D, Lcals_HYDRO_2D, Lcals_INT_PREDICT, Lcals_PLANCKIAN, Lcals_TRIDIAG_ELIM, Polybench_2MM, Polybench_3MM, Polybench_ADI, Polybench_ATAX, Polybench_FDTD_2D, Polybench_FLOYD_WARSHALL, Polybench_GEMM, Polybench_GEMVER, Polybench_GESUMMV, Polybench_HEAT_3D, Polybench_JACOBI_1D, Polybench_JACOBI_2D, Polybench_MVT, Stream_ADD, Stream_COPY, Stream_DOT, Stream_MUL, Stream_TRIAD, Apps_CONVECTION3DPA, Apps_DEL_DOT_VEC_2D, Apps_DIFFUSION3DPA, Apps_EDGE3D, Apps_ENERGY, Apps_FEMSWEEP, Apps_FIR, Apps_LTIMES, Apps_LTIMES_NOVIEW, Apps_MASS3DEA, Apps_MASS3DPA, Apps_MATVEC_3D_STENCIL, Apps_NODAL_ACCUMULATION_3D, Apps_PRESSURE, Apps_VOL3D, Apps_ZONAL_ACCUMULATION_3D, Algorithm_SCAN, Algorithm_SORT, Algorithm_SORTPAIRS, Algorithm_REDUCE_SUM, Algorithm_MEMSET, Algorithm_MEMCPY, Algorithm_ATOMIC, Algorithm_HISTOGRAM, Comm_HALO_PACKING, Comm_HALO_PACKING_FUSED
borax, 0.5, 0.5, 1, 0.231656, 0.145323, 0.079937, 0.079935, 0.038071, 0.206776, 0.112722, 0.126869, 0.224797, 0.336321, 0.381281, 0.123952, 0.156884, 0.163696, 0.017134, 0.017788, 0.001834, 0.006567, 0.046896, 0.034295, 0.307565, 0.138562, 0.324750, 0.028390, 0.325286, 0.348161, 0.215233, 0.267203, 0.343715, 0.037089, 0.267448, 0.707499, 1.065507, 0.100769, 0.032484, 0.173788, 0.929277, 0.831765, 0.008915, 0.014010, 0.235544, 0.525960, 0.682048, 0.031626, 0.213640, 0.280729, 0.220886, 0.290241, 0.213612, 0.038440, 0.226271, 0.147801, 5.243154, 0.483976, 0.000000, 0.105023, 0.339057, 0.342401, 0.000000, 0.032056, 0.489471, 0.147683, 0.300463, 0.335828, 0.054133, 0.022904, 0.341281, 0.390045, 0.003107, 0.010144, 0.015601, , 0.023176, 0.039304, 
borax, 0.5, 1.0, 1, 0.450420, 0.332044, 0.160228, 0.160124, 0.076136, 0.414747, 0.226128, 0.254692, 0.520549, 0.675995, 0.765393, 0.326690, 0.373771, 0.323683, 0.034247, 0.034928, 0.003682, 0.013617, 0.093496, 0.068641, 0.971356, 0.291632, 0.650614, 0.057008, 0.653365, 0.717204, 0.434910, 0.667473, 1.430094, 0.074999, 0.559605, 2.223900, 3.372282, 0.205611, 0.071376, 0.347198, 2.602240, 2.530502, 0.018724, 0.027006, 0.485908, 1.060385, 1.640085, 0.068918, 0.432853, 0.563590, 0.447701, 0.581175, 0.431335, 0.079024, 0.455979, 0.338914, 10.368546, 1.443290, 0.000000, 0.209480, 0.675892, 0.684595, 0.000000, 0.064394, 1.030401, 0.299896, 0.682288, 0.667555, 0.110453, 0.045891, 0.722647, 0.825462, 0.006215, 0.020418, 0.031316, , 0.045882, 0.066699, 
borax, 0.5, 2.0, 1, 0.889595, 0.654489, 0.329607, 0.329272, 0.152215, 0.848720, 0.452212, 0.516965, 2.181904, 1.354017, 1.532114, 1.045666, 1.506944, 0.626368, 0.068517, 0.069219, 0.007418, 0.029068, 0.186534, 0.138020, 1.943581, 1.195729, 1.343654, 0.114258, 1.349035, 2.148077, 1.276409, 1.439364, 2.915973, 0.201490, 2.425370, 7.039165, 10.799384, 0.475698, 0.152347, 1.030344, 8.201472, 9.212823, 0.040922, 0.062255, 1.107769, 2.184961, 3.343708, 0.146159, 1.283012, 1.168497, 0.934645, 1.200855, 1.275739, 0.217894, 0.912543, 0.726909, 20.336982, 3.255106, 0.000000, 0.421894, 1.333273, 1.368400, 0.000000, 0.130703, 2.096650, 0.611001, 2.636068, 1.329415, 0.231114, 0.093381, 1.510531, 1.756820, 0.012442, 0.040945, 0.065983, , 0.091728, 0.134721, 
boraxo, 0.5, 0.5, 1, 0.225782, 0.116089, 0.087683, 0.087457, 0.109237, 0.135498, 0.163134, 0.056682, 0.248272, 0.231296, 0.232636, 0.133851, 0.171004, 0.098068, 0.010934, 0.010947, 0.002185, 0.008812, 0.027344, 0.049527, 0.383720, 0.177396, 0.353321, 0.043746, 0.355285, 0.363452, 0.263793, 0.404875, 0.484940, 0.086306, 0.353149, 0.754946, 1.104695, 0.132710, 0.034135, 0.204873, 1.014709, 0.873694, 0.009254, 0.021169, 0.273680, 0.571070, 0.785590, 0.034048, 0.262311, 0.317820, 0.349148, 0.317185, 0.262031, 0.040387, 0.317716, 0.187746, 6.069915, 0.565959, 0.000000, 0.140032, 0.371492, 0.405212, 0.000000, 0.035657, 0.612801, 0.211124, 0.380273, 0.450118, 0.076873, 0.043822, 0.526309, 0.590006, 0.005509, 0.009390, 0.017607, , 0.029776, 0.049800, 
boraxo, 0.5, 1.0, 1, 0.472202, 0.260537, 0.181687, 0.179863, 0.218446, 0.276885, 0.327056, 0.115295, 0.648402, 0.489405, 0.490671, 0.359817, 0.436585, 0.195660, 0.021866, 0.021895, 0.004616, 0.018805, 0.054648, 0.098655, 0.817216, 0.423273, 0.737323, 0.087500, 0.742314, 0.937029, 0.571813, 0.826016, 1.148877, 0.174502, 0.803819, 4.878812, 7.296483, 0.293866, 0.128682, 0.452627, 3.039022, 6.270775, 0.029418, 0.044442, 0.513137, 1.166081, 2.021011, 0.124906, 0.561898, 0.663440, 0.713048, 0.658555, 0.558164, 0.093381, 0.636190, 0.401409, 12.005105, 1.298593, 0.000000, 0.280223, 0.743279, 0.808744, 0.000000, 0.072279, 1.248343, 0.427744, 0.941425, 0.891295, 0.158266, 0.087906, 1.112087, 1.249165, 0.011354, 0.019684, 0.043083, , 0.059613, 0.087052, 
boraxo, 0.5, 2.0, 1, 0.955868, 0.536822, 0.448059, 0.438633, 0.436893, 0.569431, 0.656122, 0.262481, 1.683957, 1.039701, 1.034599, 1.152721, 1.166432, 0.427447, 0.043726, 0.043767, 0.009658, 0.049048, 0.109262, 0.197556, 1.657553, 1.078165, 1.922211, 0.175614, 1.928397, 2.672204, 1.468401, 1.722018, 2.515831, 0.351856, 2.051631, 20.940135, 32.655366, 0.605267, 0.357723, 1.215691, 11.818472, 34.329269, 0.079101, 0.119873, 1.249212, 2.985112, 4.523963, 0.351744, 1.490469, 1.734829, 1.701396, 1.708308, 1.456416, 0.212096, 1.269813, 0.828797, 23.529331, 2.848923, 0.000000, 0.562724, 1.484497, 1.617312, 0.000000, 0.151644, 2.491873, 0.858759, 2.359149, 1.749775, 0.328775, 0.180180, 2.322387, 2.634420, 0.024076, 0.041912, 0.105088, , 0.119410, 0.230782, 
corona, 0.5, 0.5, 1, 0.006848, 0.005383, 0.006108, 0.011778, , 0.007054, 0.005252, 0.003510, 0.011645, 0.012501, 0.014783, 0.004054, 0.009707, 0.008077, 0.124597, , , , , , 0.015785, 0.010011, 0.018392, , 0.015143, 0.018684, 0.012822, 0.011394, 0.022476, 0.003850, 0.015911, 0.007945, 0.010944, 0.027310, 0.030476, 0.015012, 0.040236, 0.008791, 0.009357, 0.028182, 0.011849, 0.022268, 0.033459, 0.030092, 0.013208, 0.015245, , 0.015386, 0.012127, , 0.014024, , 0.051962, 0.015854, , 0.004327, 0.009365, 0.009306, , , 0.010148, 0.010793, 0.019256, 0.009164, 0.004097, 0.004709, , , , 0.002757, 0.003289, , , 0.094339, 
corona, 0.5, 1.0, 1, 0.009982, 0.007551, 0.009369, 0.012984, , 0.009325, 0.011136, 0.004944, 0.018091, 0.020120, 0.019984, 0.007191, 0.014793, 0.013364, 0.189099, , , , , , 0.026237, 0.015344, 0.025147, , 0.025097, 0.032222, 0.020358, 0.019784, 0.029672, 0.004960, 0.026512, 0.014763, 0.020792, 0.033195, 0.037030, 0.023969, 0.096332, 0.016404, 0.011639, 0.024698, 0.018380, 0.037654, 0.057054, 0.033446, 0.019811, 0.022770, , 0.023015, 0.019707, , 0.007499, , 0.098276, 0.024895, , 0.007440, 0.015300, 0.015457, , , 0.016623, 0.017335, 0.028374, 0.009953, 0.005474, 0.008827, , , , 0.003234, 0.004397, , , 0.105139, 
corona, 0.5, 2.0, 1, 0.017600, 0.012023, 0.016800, 0.020528, , 0.015127, 0.015519, 0.017726, 0.030819, 0.034023, 0.034323, 0.015956, 0.024200, 0.018636, 0.330637, , , , , , 0.047107, 0.025994, 0.044214, , 0.044237, 0.058625, 0.033824, 0.031663, 0.052095, 0.005598, 0.046142, 0.035752, 0.052025, 0.047249, 0.055339, 0.039826, 0.252204, 0.039615, 0.013820, 0.046382, 0.033909, 0.068730, 0.103774, 0.049846, 0.034673, 0.039690, , 0.040736, 0.034398, , 0.011059, , 0.187815, 0.043262, , 0.012759, 0.026880, 0.026845, , , 0.028845, 0.029676, 0.049406, 0.013965, 0.007385, 0.004216, , , , 0.004322, 0.005635, , , 0.138897, 
corona-cpu, 0.5, 0.5, 1, 0.146446, 0.070615, 0.026847, 0.028063, 0.038181, 0.118114, 0.133839, 0.131427, 0.156865, 0.389140, 0.389770, 0.076879, 0.101604, 0.130295, 0.020279, 0.020162, 0.002932, 0.003337, 0.052394, 0.042573, 0.215741, 0.104783, 0.117459, 0.017695, 0.118114, 0.190317, 0.116072, 0.231775, 0.319681, 0.030836, 0.189327, 0.489929, 0.747360, 0.117043, 0.020997, 0.093253, 0.400888, 0.593747, 0.005287, 0.011896, 0.131861, 0.232051, 0.416528, 0.019619, 0.126457, 0.100730, 0.123617, 0.121705, 0.127861, 0.047835, 0.182060, 0.258198, 4.462778, 0.496210, 0.000000, 0.060904, 0.228701, 0.227043, 0.000000, 0.031233, 0.434612, 0.166851, 0.247739, 0.263804, 0.048984, 0.024128, 0.410293, 0.460045, 0.002884, 0.003212, 0.005704, , 0.026715, 0.022660, 
