machine,app,"args",ranks,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
corona,comd,"",1,0.0333,116000000.0,817920249.0,250494660.0,2014000000.0,73352868.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,354191814.0,0.475758,,,,1.5222420000000003
corona,comd,"",1,0.0333,152000000.0,1082901656.0,328072104.0,2632000000.0,97475957.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,467561963.0,0.626035,,,,1.3719650000000003
corona,comd,"",1,0.0333,24000000.0,127480053.0,37775452.0,364000000.0,13160240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,51999570.0,0.080118,,,,1.9178820000000003
corona,comd,"",1,0.0333,32000000.0,199051526.0,60620877.0,540000000.0,16826164.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,84157634.0,0.130132,,,,1.8678680000000003
corona,comd,"",1,0.0333,46000000.0,305429475.0,93267420.0,786000000.0,29902380.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,128174319.0,0.18554600000000002,,,,1.8124540000000002
corona,comd,"",1,0.0333,66000000.0,447124653.0,135856634.0,1124000000.0,35480597.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,187774654.0,0.26533700000000005,,,,1.732663
corona,comd,"",1,0.0333,90000000.0,623901853.0,188433275.0,1538000000.0,50478511.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,262231228.0,0.3554480000000001,,,,1.6425520000000002
corona,cosmoflow,"",1,0.0333,174000000.0,1243999995.0,369903260.0,2996000000.0,99505434.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,510810529.0,0.7239970000000001,,,,1.274003
corona,cosmoflow,"",1,0.0333,222000000.0,1641082450.0,486812477.0,3922000000.0,144072994.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,679647798.0,0.906227,,,,1.0917730000000003
corona,cosmoflow,"",1,0.0333,46000000.0,273303016.0,81125619.0,710000000.0,25726945.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,108912816.0,0.160165,,,,1.837835
corona,cosmoflow,"",1,0.0333,62000000.0,414753548.0,123158270.0,1054000000.0,32615907.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293740.0,206264.0,166699706.0,0.2451990000000001,,,,1.752801
