"machine","app","exec","args","ranks","spack_env","exec_path","events","path","duration","PAPI_BR_INS","perf::L1-DCACHE-STORES","PAPI_BR_TKN (proxy)","PAPI_BR_UCN (proxy)","PAPI_BR_CN","IO Bytes Written","IO Bytes Read","REALTIME (sec)","PAPI_VEC_DP (proxy)","PAPI_REF_CYC","PAPI_DP_OPS (proxy)","perf::LLC-STORE-MISSES","perf::L1-DCACHE-LOADS","perf::L1-DCACHE-LOAD-MISSES","perf::LLC-STORES","PAPI_TOT_INS","PAPI_L2_TCM","clx::RESOURCE_STALLS","PAPI_BR_PRC (proxy)","perf::ITLB-LOADS","perf::ITLB-LOAD-MISSES","perf::LLC-LOAD-MISSES","perf::LLC-LOADS","perf::DTLB-LOAD-MISSES","perf::DTLB-LOADS","perf::DTLB-STORE-MISSES","perf::DTLB-STORES","clx::HW_INTERRUPTS"
"ec2-c5.metal","TestDfft","TestDfft","10 120","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/TestDfft","-e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e REALTIME -e IO -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/3d28d8e5899aeb5a9f89029a10fb2078', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/e53c90f37c2b89e6026b79edf93caaf5', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/adbcf91036ff428c539a15a77a0c9d25', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/f808ff5f1688f02ff5a59990b8c49118', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/da45901cf55d848af43b934c1a45d7c4', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/de93968ec96b2da5385bbd0332705426', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/1f9ab54b8dfae6568e45f7312893a1c4', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/42d2aba181738a364042ed80639672fd', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/deb952d1ae351c1271835ec5139dca5e']",0.05,1646000000.0,1232230272.0,460477688.0,59701772.0,1584000000.0,3250.0,11576.0,2.5884070000000006,1191545130.0,7732000000.0,4230955508.0,55557364.0,1720735985.0,393977108.0,82032858.0,10258000000.0,342000000.0,6704997461.0,1580426337.0,24212.0,28605.0,32934347.0,72890626.0,17529362.0,1701299729.0,18694983.0,1235260547.0,26.0
"ec2-c5.metal","TestDfft","TestDfft","10 120","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/TestDfft","-e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e REALTIME -e IO -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/295b51632e2d0a019a9ae02c4a875639', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/922c23d98233042b9b808c955c2c2016', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/860ebc2f14f036b564738d0dc752dec9', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/7bf32b185e87e20025cfad5f1adf48ea', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/c34fca83e4cf48c1a246724c222af57b', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/3f8d27aa359df85d60ef53ffe4575822', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/c2ff64da222f3e45a78010cd8021ac21', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/5d1b1eec556f56ec421c7ddb7ba7dfac', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/a8d7cf90a5a6deb0ba4dbc891ac2794f']",0.0,198000000.0,231058140.0,113849570.0,68617683.0,202000000.0,4514.0,11576.0,0.35571600000000003,484648506.0,976000000.0,1196574874.0,153190.0,971940432.0,16061578.0,1445907.0,3072000000.0,10000000.0,155913284.0,125589934.0,40419.0,18136.0,130878.0,1601382.0,10907.0,967020117.0,30013.0,434231039.0,1.0
"ec2-c5.metal","TestDfft","TestDfft","10 128","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/TestDfft","-e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e REALTIME -e IO -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/6c8792d824603cfaaef25767c7775926', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/d53d81f71b27f8819137aef52dc8398c', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/dc3db4e4fbda475c192632de407a7b5b', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/d9352178fbc88069e068725014c36853', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/5e3353e7a3bfa5070238b1711e29c608', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/540b57d878eb72fb81f9b2a76e523f27', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/6598356f86f1cb22d8261d549bc4735e', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/206c9b28018668817d49e38fe3f11a3c', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/3c2e7ea1d10833496ea59c33ae8c096f']",0.0833,1896000000.0,1539984825.0,533933981.0,31432685.0,1862000000.0,3234.0,11576.0,4.134928,2332737155.0,12022000000.0,8243673469.0,96235170.0,2278768352.0,662179622.0,121691343.0,12808000000.0,502000000.0,11546000744.0,1853986103.0,11792.0,39143.0,61747126.0,109130990.0,23049826.0,2279127837.0,24966323.0,1541052229.0,""
"ec2-c5.metal","TestDfft","TestDfft","10 128","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/TestDfft","-e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e REALTIME -e IO","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/2fbc77ed4590bb1e0ec32c54b53904ce', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/b34bf8938a68be09cc88fe3920657063', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/b4f1041e968ae09eabda55fc991e09ea', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/6e23aded24e6067e863aba14f65020bc', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/978df485d2eae9ce05c836243d5c5017', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/73ddd89ee29df7d800b57b3625cad196', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/6eec35010b2fd809d9b33b3a94015c18', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/b491bc4342fabf7704476b1581c9be0d', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/b906f372239bf2f9636bf1912ecd8619']",0.0166,260000000.0,271285916.0,155797416.0,65504304.0,240000000.0,4202.0,11576.0,0.29569700000000004,242836743.0,874000000.0,728189921.0,521455.0,511536860.0,21543679.0,2757373.0,2714000000.0,14000000.0,196225392.0,229155880.0,32948.0,13005.0,400772.0,2998459.0,30419.0,358981123.0,57623.0,163921627.0,""
"ec2-c5.metal","TestDfft","TestDfft","10 160","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/TestDfft","-e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e REALTIME -e IO -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/0899a402050525faf19ba2a227783326', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/669c78388ecf36e0894bc7ae81ca36bb', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/16a3f113f5070f6364cd8c31a914538b', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/dbdb2c2664ce3f668ff0918566eafa6a', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/c88953dd453503e49d52fac55a134ee6', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/d54a8f612d51c0c3c7b0b9c0052fa479', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/772b8356b4b3ef1fd7287edaec48e52e', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/50c60a1a1fb9fa419c76d80bd5019450', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/8f24e4d32ffded921674dce02d624571']",0.1166,3712000000.0,2662469980.0,1058936891.0,60251875.0,3652000000.0,3234.0,11576.0,6.606758,1892340265.0,19082000000.0,8534785281.0,165410593.0,3507290736.0,937061635.0,209049607.0,21670000000.0,790000000.0,19133067594.0,3647468624.0,18010.0,44246.0,88832556.0,140623083.0,54250323.0,3537208395.0,57484396.0,2666715796.0,10.0
"ec2-c5.metal","TestDfft","TestDfft","10 160","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/TestDfft","-e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e REALTIME -e IO -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/8dd7d0bf66997cd78982791c239452df', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/ecd3eebddf1e1be52b6f00b7ad6e3f7c', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/03a2f9c0ddcee941293de99b08028a50', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/cab28c6e2b973da843d8c0af23c7c073', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/882911be464d71f81bed248646d72501', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/8ba7b140d1e8c7adfae063fe8d055bf2', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/c233498a1d9694287e1b17dbf78fd8b9', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/cbb6c3c94c793556fb728bd0cdfa94e5', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/01e0ea6a3688a17fdfb0e619fb0dc0ab']",0.0166,476000000.0,502627741.0,239571022.0,97869070.0,388000000.0,4226.0,11576.0,0.5959770000000001,459229918.0,1752000000.0,1289907382.0,2889878.0,957114663.0,36612701.0,4342177.0,4578000000.0,26000000.0,624950121.0,477523195.0,31404.0,23707.0,1847795.0,4310813.0,33791.0,1233837884.0,69297.0,528819857.0,""
"ec2-c5.metal","TestDfft","TestDfft","10 200","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/TestDfft","-e REALTIME -e IO -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/f44cea48d4202b174b31e5dbd37e06a8', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/039f9496dc67067947565147fe35f8dd', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/fb8e967738295b0fc3aa8cca6551a87d', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/8ac7d89b73cd6fd3a1d25e807e2b8db7', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/d7adb6c083cff00cc4e302e6b627ea5f', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/20a016bbf6fae079e6358b0feaba3432', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/9c5ad99e395382ba727071cbdf1ff566', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/98dc5c26bfce7925afbd74787b6f5ac3', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/1e03c761b0a9f8744ce592d5921bc2be']",0.2166,7110000000.0,4965691430.0,2012653084.0,69994027.0,7036000000.0,3242.0,11576.0,13.330945000000002,3818013893.0,38032000000.0,17053489879.0,328606777.0,6400379633.0,1662283410.0,418666082.0,40894000000.0,1564000000.0,39187372163.0,7022862778.0,18474.0,2.0,1.0,2.0,131426967.0,6406842197.0,137271274.0,4977676041.0,""
"ec2-c5.metal","TestDfft","TestDfft","10 200","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/TestDfft","-e REALTIME -e IO -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/44f5a1de5d8839b66a1acd846d3ab9bb', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/6a46db3fe6d14fb776cd4f43c3769fda', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/5c88f3c55b5cf5e21440c9011c9b8668', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/1c6388d2815b496ee6627fe7d2a550fb', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/7030f29dedc7fc4f493fc7672dc66f19', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/8e872eeb1aab87cf505b085c7dbd8252', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/d0fa02c378c5b3c17b97f9ba93efe0a1', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/8dc6b1251109af92778872e219727448', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/00e3c5d186d37277d28ac58172345dfc']",0.0166,1200000000.0,1099426730.0,363883553.0,121491006.0,600000000.0,4754.0,11576.0,1.007736,348653806.0,3002000000.0,1104494430.0,7618172.0,2892633303.0,68426618.0,8855067.0,6174000000.0,54000000.0,1434147634.0,641887109.0,2.0,43683.0,1.0,1.0,282665.0,1630553529.0,496867.0,661867179.0,11.0
"ec2-c5.metal","TestDfft","TestDfft","10 240","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/TestDfft","-e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e REALTIME -e IO -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/a3f31e63c6df8dd17bfc21c61db1599f', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/26ba5af11d54cda24c07581a12fdf896', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/0bdc98b5eeaac211d7e549cade78fbf6', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/1821e3368c69bb091b711cdb11b41c42', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/ba80140688876152e3abc33230593bda', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/7a1d39bbb96088a3d8fb9bd30cc94d41', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/df613590a293c6067906a47cab486785', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/a65199f739722d8ea7df7d09b2993470', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/48268a82b3e53f6345255083634b2c5e']",0.3833,12304000000.0,8616291373.0,3502266792.0,121200487.0,12186000000.0,3245.0,11576.0,23.43948000000001,6182200747.0,68922000000.0,28842124579.0,609713138.0,11177025809.0,3231438316.0,731569704.0,70634000000.0,2714000000.0,1.0,12176869267.0,42267.0,84487.0,366677793.0,543527322.0,268193500.0,11079345606.0,281366256.0,8649569353.0,399.0
"ec2-c5.metal","TestDfft","TestDfft","10 240","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/TestDfft","-e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e REALTIME -e IO -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/a355b45092b89db3a923515fd0ccfcc5', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/c2177f2ca4d23c56e482bbe145034787', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/e0ab341c7ff1300250096c400c298366', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/0a6b6c8e0f2953531f5f3d9f0ea8db58', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/9835d0dee3cff4c85793e1db5a2bd12c', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/5432ba6c66be0387ab30bbabb6753779', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/35337f6b89977683d3f8b0cafad98f62', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/589120ec31799b575fa50330c95b6abc', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/TestDfft/e6d300f8d2bc5021aeb5ec3238e11178']",0.05,1382000000.0,1286628156.0,790610439.0,281680996.0,1250000000.0,4589.0,11576.0,1.83248,950622267.0,5380000000.0,2751130093.0,13980003.0,3918649067.0,117368416.0,15749542.0,14536000000.0,94000000.0,2736170578.0,1320008457.0,41840.0,45956.0,10244499.0,15951501.0,520312.0,3652648534.0,959722.0,1501045714.0,1.0
