"machine","app","exec","args","ranks","spack_env","exec_path","events","path","duration","perf::L1-DCACHE-STORES","perf::LLC-STORE-MISSES","perf::L1-DCACHE-LOADS","perf::L1-DCACHE-LOAD-MISSES","perf::LLC-STORES","IO Bytes Written","IO Bytes Read","REALTIME (sec)","perf::DTLB-LOAD-MISSES","perf::DTLB-LOADS","perf::DTLB-STORE-MISSES","perf::DTLB-STORES","PAPI_TOT_INS","perf::ITLB-LOAD-MISSES","perf::ITLB-LOADS","perf::LLC-LOAD-MISSES","perf::LLC-LOADS","PAPI_VEC_DP (proxy)","PAPI_REF_CYC","PAPI_DP_OPS (proxy)","clx::RESOURCE_STALLS","clx::HW_INTERRUPTS"
"ec2-c5.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 ","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e REALTIME -e IO -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/e49fd60d4dfb4b4432bc5ef03b334056', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/2bc38c6142a2574733d9fd769554ff16', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/8b4842e7fdf1a7a736364db47903956e', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/d9589f7ae52dc261cc81e758334ed84f', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/a26b6c3698973b59d5ff4fb0d6b3d31f', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/724057b2d4d76b075eecfe1afc6c6a4a', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/2c4c299146a0537812772e4062de5256', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/7f8aaf06ba46f2e01e47c5d997d583c9', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/fedad91e43bfc8e9358cf948ddcdc20d']",0.0333,1.0,161.0,1.0,2.0,1321.0,3123.0,11576.0,0.040087000000000005,1938.0,1.0,131.0,219.0,2000000.0,3781.0,1650.0,3084.0,12684.0,9.0,2000000.0,9.0,2.0,""
"ec2-c5.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 ","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e REALTIME -e IO -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/c4ec192bb96f9b6cfd855baddd119288', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/08a900bdd8cdb2d20121e7db5b7b0d42', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/ea1664afb59b6cff7f9da49e9ffa5bfa', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/866b4b875be38b561d4e276c6bc6c3b1', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/4ae5ad565dc96d6c85d5ccaba14cfa5f', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/3f46581c3d84eab5a2d3f54d19162513', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/565bb2f2b95d24cbc8dac0fe0f785223', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/f10d3e16429910da270d208d80b78e7c', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/d7df2a13edf55c2e2bda15b3c2758487']",0.0333,1.0,475.0,2.0,2.0,3877.0,4139.0,11576.0,0.040399,1945.0,1.0,168.0,32158.0,2000000.0,68.0,2.0,2.0,2.0,9.0,2000000.0,9.0,2.0,""
"ec2-c5.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 -pa","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e REALTIME -e IO -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/f81216da1efeb6f0966bf942fd75a90d', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/ff65b263c0632c25a6e25832dad7777e', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/d129d247796adef4ae4da22929fdf933', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/6c661691faeb2f3cb133067b760886c4', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/ed05d732495a7d961fe8289c386b45df', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/b22e89df827a1c2571658b9f78323233', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/1ee85bc8ced91fdf2e37c8fb404cc6a3', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/f70a9f34e38ef08832de60349cd5fbd8', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/2fc0065bd719c2874763b0f7b4404207']",0.0333,1.0,227.0,1.0,2.0,886.0,3123.0,11576.0,0.045085999999999994,41.0,1.0,213.0,212.0,2000000.0,"",1512.0,1.0,613.0,"","","",1.0,""
"ec2-c5.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 -pa","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e REALTIME -e IO -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/94d99b55fd65454ee409eac062dc7a3d', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/99758bd9e4e7e02f6e1dd250b5fe48fa', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/af54e978e24e7bdd72d0f82e15bc5318', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/c443fe313872c95aca13418aebfee86f', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/2facc5b22b31e9cdbd8f9013c3013fb7', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/15300237bf15f2284785edd175123af1', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/0b3034d336a3b5056b63735ac951b61e', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/f544854c70b0f999e0aa9e0798f9b1a2', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/270d05377acb3fab642c88c9940d67a7']",0.05,1.0,246.0,2.0,2.0,79.0,4131.0,11576.0,0.040252,2052.0,1.0,173.0,201.0,2000000.0,62.0,4688.0,4452.0,21216.0,9.0,2000000.0,9.0,2.0,""
"ec2-c5.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 ","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e REALTIME -e IO -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/5d527ad4cf382f555f423ca57adb8b56', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/5adc3d6e2cafb4851d1a90de13bd402d', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/322de595d4bbba0097a7ff390dfd8432', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/a9bf7c417fd8933c51ba78a6f3a17fbb', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/ca3040361a7f6fb3e458e30291d3e3a0', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/536090ec298224027f713536b02bed66', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/ee6daea9cb11b3342ebc97be135c67d4', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/d136841fe5462787e736370f057a1df6', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/07876d0c8896c09f75cae4c0b6771ac9']",0.0333,1.0,203.0,1.0,2.0,756.0,3131.0,11576.0,0.040077,2032.0,1.0,1.0,2.0,2000000.0,1582.0,298.0,1011.0,17928.0,9.0,2000000.0,9.0,2.0,""
"ec2-c5.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 ","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e REALTIME -e IO -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/6cd9cd1447ab4fe054918b99f20931ca', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/a5e7a0680cfe7fa8db1beb5014b2770c', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/362b0d407567870f6097730f49448560', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/8dc84f30d1e6edd18e7650dca0f0a6a5', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/d5efeee9f68b0eaa601326525e92381c', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/902a150f1b49c6fd1bb14cfed3f1b80f', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/54bae16e485d14ed7778dddbfa3043ac', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/fd9a842490e4197650f25ea513696b5c', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/f331cbb8a3a1791ae38627be31474f4b']",0.0333,1.0,6.0,2.0,2.0,2344.0,4243.0,11576.0,0.0455,8232.0,1.0,244.0,29015.0,2000000.0,1.0,1684.0,2008.0,7828.0,9.0,2000000.0,9.0,1.0,""
"ec2-c5.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 -pa","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e REALTIME -e IO -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/3de0b2ea7e90bf4537df4e3455f91bef', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/0b776db62032d2ae849f6def93381f04', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/016b737e626a8260b6fa6e7b2f274d09', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/4f69c8fbed8f94957e005f5bf18cc08d', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/1ac72ab9612ffda601d89327c910b7e6', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/2eea01845c531e37c48d04e76e6bda8e', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/60f224c8b9563ecf6bf34f323a84405a', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/118de1bcd946a4525b9e44e2d5619923', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/7803366d323a9a13e5a9e0821f7b03be']",0.0333,1.0,43.0,1.0,2.0,6.0,3131.0,11576.0,0.040071,2052.0,1.0,235.0,223.0,2000000.0,56.0,1421.0,1.0,2.0,9.0,2000000.0,9.0,1.0,""
"ec2-c5.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 -pa","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e REALTIME -e IO -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/67d89513bd80f0d97f731fd8b3c52db6', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/86dda37f061147bb057ef7b2ccb570c9', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/f5c36077f45c1ff7d0641b68aaa3592b', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/68d173028e49be316fd057c470eb4022', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/6a6c31fa1a3aec06b8fbed49caa205d5', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/65d5f42e5199cb9478d79b28bb02f9ee', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/23f71e36bd840e731723c29316268a47', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/c81270922e5235069417deb63bf45d61', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/ec9d9569008be4af9afb677f0bdcb7b6']",0.05,1.0,265.0,2.0,2.0,2984.0,4683.0,11576.0,0.045546,3224.0,1.0,170.0,29231.0,2000000.0,2.0,2.0,1.0,2.0,9.0,2000000.0,9.0,1.0,""
"ec2-c5.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 4 ","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e REALTIME -e IO -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/d72156b202e0fe0d4a06583b17762fca', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/fdae7dbea4c6614058ae68f74f2b61a6', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/2e0d3d165cee049b1e8ee320a5f87511', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/68110c62d05296c41a92ec97d7685b60', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/70638cae7832942d6abadbe40120d961', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/f5a9d6cc3fa8a68de9086230b7ad72df', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/5b38552786c3ab03f3dbd48ad0f7130f', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/2198a9c2a1edaaf4a9bef42fe831f7ee', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/98091c77ff0fe88a5b23d76c83949d94']",0.05,1.0,117.0,1.0,2.0,1399.0,3131.0,11576.0,0.040356,1752.0,1.0,1.0,210.0,2000000.0,9.0,782.0,2098.0,2.0,9.0,2000000.0,9.0,2.0,""
"ec2-c5.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 4 ","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e REALTIME -e IO -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS","['/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/7a41b3613f46fb4e77df81ea0542d045', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/95d35d9943f939e91d0c0d5c78bf7b05', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/03577d276fcc9d42da8a1c0a11defe6e', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/344ec9a3f8129756047edcac29c1af98', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/0740e2b67fac0ad5f7810d6c5f3484b1', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/2e257286545137f50e5e4e6f127fcec2', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/0827f8c14d69e2debea85948fc1c5668', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/2a0770a628366ad85ffb7df0a92f19fe', '/home/ec2-user/aws_data_collection/data/ec2-c5.metal/laghos/9b88ee6acfeb718f74776f24a6c0d53b']",0.05,1.0,245.0,2.0,2.0,2150.0,4579.0,11576.0,0.045403,3081.0,1.0,231.0,32514.0,2000000.0,1686.0,22.0,62.0,655.0,9.0,2000000.0,9.0,2.0,""
