"machine","app","exec","args","ranks","spack_env","exec_path","events","path","duration"
"ec2-c6i.metal","XSBench","XSBench","-t 1 -m history -s XL -G hash","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/XSBench","-e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e REALTIME -e IO -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/43dd7e762fb040810c2e710e9707183f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/7ee77fda04c94284e2abcb746c0d1f90', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/a7c80c0e945a1a6efd9399c5124ad69e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/558003cf087f1b3e93567bedc7eede0a', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/273b1634b818f0faa58ffd6c561c92a3', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/a9837fc77a873b63731829663fdae065', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/b89bfcc9fe3112a1d7e1897281501136', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/545fdc745c82d906b48390975639b021', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/3917f5c272df0d0d8ffd92a5082ff092', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/567903a4970511e8bc4e8107d5e1ff0b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/3f91be9ef3f3799d458775e7ede99c92']",0.05
"ec2-c6i.metal","XSBench","XSBench","-t 1 -m history -s XL -G nuclide","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/XSBench","-e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e REALTIME -e IO -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_BR_PRC -e PAPI_L2_TCM -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/ced21560a7d04cbb146d59dee91d609f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/18d40527d21caf25609b7bf573d5a743', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/89bf0f0790dd613a4d9b43d74cc7fb05', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/0c8cd6019ca51912d6b25cf744f1e444', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/6697eccd179284322a4e5515f6f1d405', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/035ce7beac57b1bba777e165f7add513', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/e6975fa0b5dde5c53c07042ded20b69b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/4859e24e0e4ce6f68bdea3a17143feba', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/79568cb86b77b8f8a0b1466440606298', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/4912342018db4106c4ff000b20316f76', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/999d1cf48c97460786b046ea1e6f73fc']",0.0333
"ec2-c6i.metal","XSBench","XSBench","-t 1 -m history -s XL -G unionized","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/XSBench","-e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e REALTIME -e IO -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/c81a091485881f696c973e5266511e95', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/023218dec7ab559ad3594f668f29c491', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/28398351065c2d5d5a168e6f4765a871', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/41ac2fc59a9a9a407fa8f43c450352b8', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/16ac4c41f4e8dc1570d709a2109df509', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/633549f2b0dc36e6533cd58e8cd3aca1', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/76ffe9ba0d869cc560ef5ec4f90d7787', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/a9f97d9094fa50c246967daa78835fc6', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/6323764c469e9bc71b767ecdd8c13006', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/d93446c193223a0e2479af796db1f0d7', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/b7761515c479e5c326433780cebcdad1']",0.0333
"ec2-c6i.metal","XSBench","XSBench","-t 1 -m history -s XXL -G unionized","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/XSBench","-e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e REALTIME -e IO -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/81d9283b1e1e0b40efc8c342aab83d28', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/aa3f46810d9762028faa0409ccc7a3d1', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/e6a06351bbf637fa3facb9fe2fb7c126', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/62a9c8d7d64133d1f67cb1d0496598e6', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/c8a980453ab77e35b4a3b56e3fc9fadb', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/ebff554d970747aa633ff611d2979394', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/6d680f910c7eb895d8d0c363df786ff2', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/6d219c2333691f0441e6d52f905b97dd', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/b5132bac088417887f3be5aa369b88d0', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/57bb9ad8f5758e3404185682040a49da', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/fdbe64f1d179328b0211b6b0a42f5386']",0.0333
"ec2-c6i.metal","XSBench","XSBench","-t 1 -m history -s large -G hash","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/XSBench","-e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e REALTIME -e IO -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/56615d0c00276e041a937dd7b25823a5', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/a80fba731ad642e7386f274a9679b415', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/7c06ca162ef8d17ea5649ad337d83a8b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/0bb078eb8f51bcf3bb6cc267dba25671', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/72b4fb0620694fbd7cef0b756e0c3f01', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/eab0513b887f0af4256d9126a153b9e2', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/77cdd662294d4bda666825eaf37472eb', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/d05a35b5eb6ce44078ef1332418cd943', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/1a18d976f2703169356b4140add63f06', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/25e7c8fd5091ebf0f897663477b614a0', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/df8360d286d3d88b6f171fbed42beac4']",0.0333
"ec2-c6i.metal","XSBench","XSBench","-t 1 -m history -s large -G nuclide","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/XSBench","-e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e REALTIME -e IO","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/0bccfa608a8c27be19cfbfcff3a4e4b8', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/e208a58d0cd3b00a20fe9b96d0d54382', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/2fa68522c393f6b948558233e838829b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/0e5d59ef663e30bc71dd35c4320af688', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/144a1210c951d48875221df374e11eb2', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/37506d70b1a73cf03e0f6f8a306b8c29', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/42a1c35ac55c923802bb0ea97c1ec6f2', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/3d2d581a1dc24f87b00b6d0ee243225d', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/47c42a80f8a0ed6fd7643d1c7f33f8a4', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/536cc68f8ee8078cc42b8a090dacc74a', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/37d00bdd7c3daf898de6e75728caba74']",0.0333
"ec2-c6i.metal","XSBench","XSBench","-t 1 -m history -s large -G unionized","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/XSBench","-e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e REALTIME -e IO -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/ae7a7a3617fef0d4c7a52af3f74ed273', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/2a50fe92c87a8d5638f507d155ac7702', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/979e68e476618ad31681ca2397712c2f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/906ef1c5a4d318e61926c69865e015d1', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/297af82109a2aa1438ec778b1d9f8d36', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/65f81c34573ce3c0fe005305553b8ee9', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/e45a76b4c161e8636d97418d1e05742a', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/0171ee06f9b550a21539f262e31b2dc7', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/e02fbcf0c9be3d77a899f2b3b3879bb7', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/f8045ea2e701b8dbf306b2ad0cd5fe3f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/5f84fb1071aa7312a3c3b869b71c9107']",0.0333
"ec2-c6i.metal","XSBench","XSBench","-t 1 -m history -s small -G hash","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/XSBench","-e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e REALTIME -e IO -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/3637a737b6a92b1b7bae9862405357ff', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/75f1aa7c59aeec582e29ef17a1c6f55f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/2c8bf2fea67ad82d9a1a34747c575219', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/f21f0b196e3e208080edb975a5eef12e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/e90e1c26b7498bc57b7b7989d55f49c1', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/9493f7c85747d5669a99ead631817f95', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/b9bc03f89ce43c600e5ccf44a38cfc6d', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/fae4a13ede8292bd0f0bf0b51ced2806', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/6237dafb907969ff2da86c9dad8acc37', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/9dbe38a63622d950d9bb5316facf4a3e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/e561a718471f1566c9e33307f2d77b88']",0.0333
"ec2-c6i.metal","XSBench","XSBench","-t 1 -m history -s small -G nuclide","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/XSBench","-e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e REALTIME -e IO -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/f58eaebd7e05ba482753eaf5d4358d3d', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/33f6a11ee7cf66f65b5770fceda0d413', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/ef19d783d1343f4a84c230af2926f96f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/6ab09fb1ef9fe566fe7e3b19300ef2b5', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/32a8e2340f3c028f6793bf16d597adac', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/9d7ff30ab2be7df19f524e5c10524411', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/edf539c1703f7348db7e52178b49d5bb', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/308778bc804c34fc44b0fd4522cc38f7', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/d2f401666b7b4cfbb955dee5090a7891', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/e8ef557b9ccb17fe120efd8092418211', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/653f9974f89b2fe540363731973a6591']",0.0333
"ec2-c6i.metal","XSBench","XSBench","-t 1 -m history -s small -G unionized","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/XSBench","-e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e REALTIME -e IO -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/8967df6ad6f930e5547d95b0b3b58eeb', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/489e48c87edc5098317b9d22aaa085d1', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/2c22d1700f8fb9a68b13a584c2f173a5', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/c519fead109f43aa445d73f23ab9a08e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/0df3b5e7c916de436f07543f71791ba8', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/8df6e9683774528afac37ed4409a8c50', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/0fa6c0560a22da4fb2847a78f561bed3', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/23e1cead189fa455956d84391a82be17', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/e1b0c7a53a2c06c1eb01c1b9392618f4', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/914a5b92b4fdc99342719379fa0485a3', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/XSBench/fc39e69a014b4dd40e3b1fc813be60df']",0.0333
