machine,Kernel                      ,Kernel                      ,Basic_DAXPY                 ,Basic_DAXPY_ATOMIC          ,Basic_IF_QUAD               ,Basic_INDEXLIST             ,Basic_INDEXLIST_3LOOP       ,Basic_INIT3                 ,Basic_INIT_VIEW1D           ,Basic_INIT_VIEW1D_OFFSET    ,Basic_MAT_MAT_SHARED        ,Basic_MULADDSUB             ,Basic_NESTED_INIT           ,Basic_PI_ATOMIC             ,Basic_PI_REDUCE             ,Basic_REDUCE3_INT           ,Basic_REDUCE_STRUCT         ,Basic_TRAP_INT              ,Lcals_DIFF_PREDICT          ,Lcals_EOS                   ,Lcals_FIRST_DIFF            ,Lcals_FIRST_MIN             ,Lcals_FIRST_SUM             ,Lcals_GEN_LIN_RECUR         ,Lcals_HYDRO_1D              ,Lcals_HYDRO_2D              ,Lcals_INT_PREDICT           ,Lcals_PLANCKIAN             ,Lcals_TRIDIAG_ELIM          ,Polybench_2MM               ,Polybench_3MM               ,Polybench_ADI               ,Polybench_ATAX              ,Polybench_FDTD_2D           ,Polybench_FLOYD_WARSHALL    ,Polybench_GEMM              ,Polybench_GEMVER            ,Polybench_GESUMMV           ,Polybench_HEAT_3D           ,Polybench_JACOBI_1D         ,Polybench_JACOBI_2D         ,Polybench_MVT               ,Stream_ADD                  ,Stream_COPY                 ,Stream_DOT                  ,Stream_MUL                  ,Stream_TRIAD                ,Apps_CONVECTION3DPA         ,Apps_DEL_DOT_VEC_2D         ,Apps_DIFFUSION3DPA          ,Apps_ENERGY                 ,Apps_FIR                    ,Apps_HALOEXCHANGE           ,Apps_HALOEXCHANGE_FUSED     ,Apps_LTIMES                 ,Apps_LTIMES_NOVIEW          ,Apps_MASS3DPA               ,Apps_NODAL_ACCUMULATION_3D  ,Apps_PRESSURE               ,Apps_VOL3D                  ,Algorithm_SCAN              ,Algorithm_SORT              ,Algorithm_SORTPAIRS         ,Algorithm_REDUCE_SUM        ,Algorithm_MEMSET            ,Algorithm_MEMCPY            
pascal, Base_CUDA , block_256 ,  0.022184 ,  0.023558 ,  0.015895 ,  0.003997 ,  0.008795 ,  0.037753 ,  0.036117 ,  0.036127 ,  0.011227 ,  0.026434 ,  0.016463 ,  0.128586 ,  0.002728 ,  0.002639 ,  0.008429 ,  0.002913 ,  0.076519 ,  0.032293 ,  0.061632 ,  0.007276 ,  0.061709 ,  0.071746 ,  0.044457 ,  0.032990 ,  0.064253 ,  0.003740 ,  0.058944 ,  0.039255 ,  0.057832 ,  0.063222 ,  0.039580 ,  0.049528 ,  0.353275 ,  0.033604 ,  0.008754 ,  0.075023 ,  0.032151 ,  0.099167 ,  0.136118 ,  0.028599 ,  0.044484 ,  0.055208 ,  0.098526 ,  0.055170 ,  0.044329 ,   Not run ,  0.010336 ,   Not run ,  0.051649 ,  0.011245 ,  0.010973 ,   Not run ,  0.024486 ,  0.024489 ,   Not run ,  0.024173 ,  0.062858 ,  0.011491 ,   Not run ,   Not run ,   Not run ,  0.002682 ,  0.001462 ,  0.003080 
pascal, Base_CUDA , block_256 ,  0.022184 ,  0.023546 ,  0.015906 ,  0.004016 ,  0.008799 ,  0.037748 ,  0.036115 ,  0.036115 ,  0.011222 ,  0.026430 ,  0.016217 ,  0.128270 ,  0.002714 ,  0.002624 ,  0.008422 ,  0.002900 ,  0.077700 ,  0.032501 ,  0.061669 ,  0.006915 ,  0.061738 ,  0.071748 ,  0.044454 ,  0.032996 ,  0.063979 ,  0.003754 ,  0.059178 ,  0.036654 ,  0.057734 ,  0.065585 ,  0.039630 ,  0.049640 ,  0.352743 ,  0.037410 ,  0.009166 ,  0.078775 ,  0.032317 ,  0.099230 ,  0.134122 ,  0.028542 ,  0.044494 ,  0.055180 ,  0.106173 ,  0.055231 ,  0.044324 ,   Not run ,  0.010342 ,   Not run ,  0.051801 ,  0.010565 ,  0.010189 ,   Not run ,  0.021986 ,  0.024398 ,   Not run ,  0.025898 ,  0.062720 ,  0.011494 ,   Not run ,   Not run ,   Not run ,  0.002433 ,  0.001446 ,  0.003084 
pascal, Base_CUDA , block_256 ,  0.022190 ,  0.023538 ,  0.015905 ,  0.004010 ,  0.008797 ,  0.037765 ,  0.036108 ,  0.036121 ,  0.011137 ,  0.026449 ,  0.016157 ,  0.125805 ,  0.002734 ,  0.002613 ,  0.008382 ,  0.002906 ,  0.076520 ,  0.032318 ,  0.061655 ,  0.006882 ,  0.061713 ,  0.071750 ,  0.044464 ,  0.033000 ,  0.064273 ,  0.003754 ,  0.058974 ,  0.036653 ,  0.057473 ,  0.064128 ,  0.039598 ,  0.049545 ,  0.352861 ,  0.037252 ,  0.008839 ,  0.075806 ,  0.032200 ,  0.099140 ,  0.134084 ,  0.028536 ,  0.044490 ,  0.055200 ,  0.106805 ,  0.055196 ,  0.044340 ,   Not run ,  0.010345 ,   Not run ,  0.051787 ,  0.010562 ,  0.010208 ,   Not run ,  0.022056 ,  0.022018 ,   Not run ,  0.024187 ,  0.062714 ,  0.011495 ,   Not run ,   Not run ,   Not run ,  0.002450 ,  0.001447 ,  0.003082 
lassen, Base_CUDA , block_256 ,  0.015287 ,  0.015346 ,  0.011719 ,  0.003442 ,  0.006595 ,  0.026110 ,  0.026612 ,  0.026572 ,  0.007063 ,  0.018371 ,  0.013165 ,  0.120660 ,  0.001581 ,  0.001431 ,  0.007357 ,  0.001664 ,  0.058231 ,  0.020606 ,  0.043650 ,  0.003387 ,  0.043685 ,  0.048075 ,  0.030582 ,  0.020827 ,  0.043913 ,  0.002601 ,  0.040500 ,  0.011610 ,  0.016470 ,  0.039606 ,  0.042111 ,  0.033082 ,  0.261416 ,  0.007062 ,  0.006880 ,  0.031617 ,  0.018578 ,  0.070216 ,  0.092913 ,  0.026807 ,  0.030319 ,  0.038760 ,  0.071865 ,  0.039132 ,  0.030418 ,   Not run ,  0.006431 ,   Not run ,  0.035841 ,  0.003705 ,  0.018970 ,   Not run ,  0.013324 ,  0.013345 ,   Not run ,  0.007334 ,  0.043586 ,  0.005230 ,   Not run ,   Not run ,   Not run ,  0.001558 ,  0.001098 ,  0.002204 
lassen, Base_CUDA , block_256 ,  0.015243 ,  0.015304 ,  0.011736 ,  0.003377 ,  0.006597 ,  0.026193 ,  0.026574 ,  0.026581 ,  0.007051 ,  0.018253 ,  0.013280 ,  0.120701 ,  0.001584 ,  0.001389 ,  0.007110 ,  0.001671 ,  0.058691 ,  0.020618 ,  0.043629 ,  0.003386 ,  0.043678 ,  0.048155 ,  0.030438 ,  0.020873 ,  0.043916 ,  0.002592 ,  0.040499 ,  0.011582 ,  0.016429 ,  0.039551 ,  0.042282 ,  0.033145 ,  0.261549 ,  0.007033 ,  0.006901 ,  0.031517 ,  0.018581 ,  0.070100 ,  0.092624 ,  0.026857 ,  0.030441 ,  0.038624 ,  0.071370 ,  0.038997 ,  0.030546 ,   Not run ,  0.006392 ,   Not run ,  0.035898 ,  0.003703 ,  0.016267 ,   Not run ,  0.013319 ,  0.013333 ,   Not run ,  0.007379 ,  0.043640 ,  0.005205 ,   Not run ,   Not run ,   Not run ,  0.001545 ,  0.001099 ,  0.002203 
lassen, Base_CUDA , block_256 ,  0.015218 ,  0.015315 ,  0.011659 ,  0.003477 ,  0.006564 ,  0.026079 ,  0.026588 ,  0.026591 ,  0.007072 ,  0.018216 ,  0.013162 ,  0.120668 ,  0.001567 ,  0.001412 ,  0.007173 ,  0.001711 ,  0.058043 ,  0.020528 ,  0.043689 ,  0.003425 ,  0.043799 ,  0.047850 ,  0.030668 ,  0.020777 ,  0.044410 ,  0.002597 ,  0.040881 ,  0.011586 ,  0.016452 ,  0.039483 ,  0.042204 ,  0.033058 ,  0.261465 ,  0.007050 ,  0.006880 ,  0.031533 ,  0.018569 ,  0.070149 ,  0.092820 ,  0.029163 ,  0.030450 ,  0.039133 ,  0.073028 ,  0.039123 ,  0.030476 ,   Not run ,  0.006485 ,   Not run ,  0.035871 ,  0.003695 ,  0.017391 ,   Not run ,  0.013349 ,  0.013321 ,   Not run ,  0.007320 ,  0.043562 ,  0.005094 ,   Not run ,   Not run ,   Not run ,  0.001551 ,  0.001142 ,  0.002205 
corona, Base_HIP  , block_256 ,  0.016496 ,  0.020023 ,  0.014491 ,  0.006630 ,  0.007893 ,  0.030137 ,  0.033376 ,  0.033490 ,  0.014553 ,  0.023497 ,  0.017878 , 304.516980 ,  0.088360 ,  0.001962 ,  0.058383 ,  0.087433 ,  0.046826 ,  0.024969 ,  0.043757 ,  0.005004 ,  0.044194 ,  0.057984 ,  0.033965 ,  0.030159 ,  0.049572 ,  0.005680 ,  0.044863 ,  0.030046 ,  0.041743 ,  0.048706 ,  0.059561 ,  0.038943 ,  0.253662 ,  0.028675 ,  0.013933 ,  0.054430 ,  0.028158 ,  0.068331 ,  0.102136 ,  0.059046 ,  0.034149 ,  0.039293 ,  3.240190 ,  0.039418 ,  0.033662 ,   Not run ,  0.010349 ,   Not run ,  0.043120 ,  0.012637 ,  0.012529 ,   Not run ,  0.026264 ,  0.026200 ,   Not run ,  0.027909 ,  0.048896 ,  0.013578 ,   Not run ,   Not run ,   Not run ,  0.085443 ,  0.002480 ,  0.004178 
corona, Base_HIP  , block_256 ,  0.016536 ,  0.019826 ,  0.014379 ,  0.006578 ,  0.007942 ,  0.030216 ,  0.033480 ,  0.033500 ,  0.014726 ,  0.023470 ,  0.017753 , 297.079084 ,  0.088878 ,  0.002137 ,  0.058156 ,  0.087567 ,  0.046570 ,  0.024959 ,  0.043213 ,  0.005196 ,  0.043369 ,  0.057602 ,  0.034201 ,  0.030254 ,  0.049940 ,  0.005715 ,  0.045954 ,  0.029841 ,  0.041956 ,  0.049213 ,  0.059992 ,  0.039063 ,  0.253044 ,  0.028490 ,  0.013935 ,  0.054048 ,  0.028102 ,  0.067446 ,  0.102136 ,  0.059628 ,  0.033586 ,  0.039356 ,  3.230981 ,  0.039144 ,  0.033767 ,   Not run ,  0.010334 ,   Not run ,  0.043274 ,  0.012648 ,  0.012724 ,   Not run ,  0.028567 ,  0.027725 ,   Not run ,  0.028789 ,  0.049492 ,  0.013845 ,   Not run ,   Not run ,   Not run ,  0.085222 ,  0.003099 ,  0.003091 
corona, Base_HIP  , block_256 ,  0.016904 ,  0.019782 ,  0.044710 ,  0.006535 ,  0.008068 ,  0.030526 ,  0.033248 ,  0.033320 ,  0.014735 ,  0.023579 ,  0.018094 , 295.866805 ,  0.088535 ,  0.002269 ,  0.058208 ,  0.088538 ,  0.046585 ,  0.024939 ,  0.043566 ,  0.004942 ,  0.043605 ,  0.057911 ,  0.034201 ,  0.029689 ,  0.048462 ,  0.004559 ,  0.045016 ,  0.029817 ,  0.041655 ,  0.048400 ,  0.059689 ,  0.039101 ,  0.253296 ,  0.028155 ,  0.013779 ,  0.053818 ,  0.028155 ,  0.067877 ,  0.102035 ,  0.059675 ,  0.033636 ,  0.039039 ,  3.221558 ,  0.039552 ,  0.033820 ,   Not run ,  0.010468 ,   Not run ,  0.044933 ,  0.012882 ,  0.012490 ,   Not run ,  0.026104 ,  0.025986 ,   Not run ,  0.027854 ,  0.049594 ,  0.013402 ,   Not run ,   Not run ,   Not run ,  0.084661 ,  0.003271 ,  0.003084 
tioga, Base_HIP  , block_256 ,  0.009919 ,  0.011466 ,  0.008439 ,  0.003741 ,  0.004842 ,  0.017041 ,  0.017089 ,  0.017007 ,  0.008200 ,  0.012690 ,  0.007903 , 345.773600 ,  0.062692 ,  0.001337 ,  0.050916 ,  0.062059 ,  0.026789 ,  0.014741 ,  0.027100 ,  0.003399 ,  0.027115 ,  0.032710 ,  0.020840 ,  0.019631 ,  0.034035 ,  0.002764 ,  0.027763 ,  0.017508 ,  0.025233 ,  0.061368 ,  0.065602 ,  0.025028 ,  0.165181 ,  0.017092 ,  0.013962 ,  0.071910 ,  0.017413 ,  0.044727 ,  0.062827 ,  0.065112 ,  0.020447 ,  0.024399 ,  2.434025 ,  0.024420 ,  0.020449 ,   Not run ,  0.006688 ,   Not run ,  0.025818 ,  0.005515 ,  0.013167 ,   Not run ,  0.014687 ,  0.014611 ,   Not run ,  0.011457 ,  0.029613 ,  0.006786 ,   Not run ,   Not run ,   Not run ,  0.060448 ,  0.001113 ,  0.001808 
