machine,Kernel                      ,Kernel                      ,Basic_DAXPY                 ,Basic_DAXPY_ATOMIC          ,Basic_IF_QUAD               ,Basic_INDEXLIST             ,Basic_INDEXLIST_3LOOP       ,Basic_INIT3                 ,Basic_INIT_VIEW1D           ,Basic_INIT_VIEW1D_OFFSET    ,Basic_MAT_MAT_SHARED        ,Basic_MULADDSUB             ,Basic_NESTED_INIT           ,Basic_PI_ATOMIC             ,Basic_PI_REDUCE             ,Basic_REDUCE3_INT           ,Basic_REDUCE_STRUCT         ,Basic_TRAP_INT              ,Lcals_DIFF_PREDICT          ,Lcals_EOS                   ,Lcals_FIRST_DIFF            ,Lcals_FIRST_MIN             ,Lcals_FIRST_SUM             ,Lcals_GEN_LIN_RECUR         ,Lcals_HYDRO_1D              ,Lcals_HYDRO_2D              ,Lcals_INT_PREDICT           ,Lcals_PLANCKIAN             ,Lcals_TRIDIAG_ELIM          ,Polybench_2MM               ,Polybench_3MM               ,Polybench_ADI               ,Polybench_ATAX              ,Polybench_FDTD_2D           ,Polybench_FLOYD_WARSHALL    ,Polybench_GEMM              ,Polybench_GEMVER            ,Polybench_GESUMMV           ,Polybench_HEAT_3D           ,Polybench_JACOBI_1D         ,Polybench_JACOBI_2D         ,Polybench_MVT               ,Stream_ADD                  ,Stream_COPY                 ,Stream_DOT                  ,Stream_MUL                  ,Stream_TRIAD                ,Apps_CONVECTION3DPA         ,Apps_DEL_DOT_VEC_2D         ,Apps_DIFFUSION3DPA          ,Apps_ENERGY                 ,Apps_FIR                    ,Apps_HALOEXCHANGE           ,Apps_HALOEXCHANGE_FUSED     ,Apps_LTIMES                 ,Apps_LTIMES_NOVIEW          ,Apps_MASS3DPA               ,Apps_NODAL_ACCUMULATION_3D  ,Apps_PRESSURE               ,Apps_VOL3D                  ,Algorithm_SCAN              ,Algorithm_SORT              ,Algorithm_SORTPAIRS         ,Algorithm_REDUCE_SUM        ,Algorithm_MEMSET            ,Algorithm_MEMCPY            
pascal, Base_Seq , default  , 0.148748 , 0.148804 , 0.630900 , 0.220097 , 0.264221 , 0.502712 , 0.725385 , 0.762006 , 0.747816 , 0.361811 , 0.403972 , 0.034190 , 0.034151 , 0.007797 , 0.046016 , 0.093486 , 0.923376 , 0.375331 , 0.600730 , 0.054413 , 0.603228 , 0.697614 , 0.400631 , 0.652394 , 1.368000 , 0.355478 , 0.525314 , 2.345224 , 3.533211 , 0.173441 , 0.100094 , 0.334113 , 2.494378 , 2.675908 , 0.025261 , 0.056856 , 0.602906 , 1.006348 , 1.577663 , 0.098178 , 0.391871 , 0.525121 , 0.913580 , 0.527511 , 0.391366 , 0.150301 , 0.520940 , 0.450654 , 0.770689 , 0.456504 , 0.015447 , 0.015456 , 0.495600 , 0.496019 , 0.123279 , 0.186741 , 0.673345 , 0.800211 , 0.045636 , 0.739569 , 0.849662 , 0.022876 , 0.018921 , 0.029172 
pascal, Base_Seq , default  , 0.150227 , 0.150255 , 0.632879 , 0.220137 , 0.264177 , 0.513421 , 0.673881 , 0.762190 , 0.749919 , 0.418768 , 0.393337 , 0.034254 , 0.034151 , 0.007945 , 0.046072 , 0.093482 , 0.960010 , 0.388116 , 0.639566 , 0.054782 , 0.641869 , 0.769086 , 0.423227 , 0.666972 , 1.409546 , 0.371357 , 0.576902 , 2.471024 , 3.719861 , 0.174850 , 0.102963 , 0.352280 , 2.623853 , 2.823925 , 0.026338 , 0.057672 , 0.607488 , 1.067753 , 1.644140 , 0.101464 , 0.415969 , 0.558952 , 0.915178 , 0.560659 , 0.415131 , 0.152593 , 0.520916 , 0.459026 , 0.782246 , 0.498272 , 0.016582 , 0.016571 , 0.492173 , 0.496468 , 0.123357 , 0.186863 , 0.772197 , 0.800020 , 0.045683 , 0.739816 , 0.852458 , 0.022879 , 0.020282 , 0.031053 
pascal, Base_Seq , default  , 0.159015 , 0.159143 , 0.630124 , 0.220472 , 0.263682 , 0.514932 , 0.674666 , 0.762283 , 0.748627 , 0.361211 , 0.393411 , 0.034169 , 0.034168 , 0.007791 , 0.046120 , 0.093438 , 0.959498 , 0.375515 , 0.632780 , 0.054769 , 0.633766 , 0.717986 , 0.420343 , 0.672446 , 1.409029 , 0.370040 , 0.538091 , 2.477459 , 3.728072 , 0.174382 , 0.103069 , 0.358492 , 2.634940 , 2.835715 , 0.026285 , 0.057705 , 0.607280 , 1.074541 , 1.649432 , 0.101576 , 0.417159 , 0.560256 , 0.916009 , 0.563643 , 0.416509 , 0.153342 , 0.520361 , 0.458206 , 0.800189 , 0.497841 , 0.016616 , 0.016601 , 0.495596 , 0.496224 , 0.123454 , 0.186743 , 0.702965 , 0.800092 , 0.045708 , 0.739972 , 0.852785 , 0.022897 , 0.020383 , 0.031123 
lassen, Base_Seq , default  , 0.154408 , 0.157529 , 0.992027 , 0.281922 , 0.324643 , 0.297386 , 0.959484 , 0.875593 , 0.821915 , 0.222095 , 0.485345 , 0.056480 , 0.056472 , 0.009933 , 0.054906 , 0.142471 , 0.508861 , 0.473071 , 0.607586 , 0.039982 , 0.603793 , 0.674550 , 0.465814 , 0.727702 , 0.599420 , 0.707417 , 0.494168 , 4.091399 , 6.232199 , 0.295080 , 0.193596 , 0.516520 , 3.461564 , 4.733502 , 0.047370 , 0.119209 , 0.923851 , 1.476035 , 2.816475 , 0.185522 , 0.367825 , 0.630575 , 1.946156 , 0.524199 , 0.340524 , 0.170186 , 0.673730 , 0.481373 , 0.700472 , 0.981651 , 0.018052 , 0.017830 , 0.944496 , 0.945241 , 0.132486 , 0.209005 , 0.920450 , 0.827774 , 0.094765 , 0.999342 , 1.069074 , 0.047635 , 0.023242 , 0.036438 
lassen, Base_Seq , default  , 0.151858 , 0.154667 , 0.997127 , 0.281838 , 0.324996 , 0.287654 , 0.959432 , 0.875538 , 0.817263 , 0.217338 , 0.485931 , 0.056473 , 0.056468 , 0.009929 , 0.052993 , 0.142443 , 0.506089 , 0.472742 , 0.608065 , 0.040457 , 0.604634 , 0.679612 , 0.465152 , 0.721471 , 0.585804 , 0.705108 , 0.479367 , 4.090217 , 6.231366 , 0.295394 , 0.193548 , 0.516129 , 3.460361 , 4.728678 , 0.047371 , 0.119239 , 0.923711 , 1.475138 , 2.816259 , 0.185378 , 0.359070 , 0.629848 , 1.946366 , 0.520950 , 0.333545 , 0.170321 , 0.673592 , 0.483869 , 0.694914 , 0.982591 , 0.019196 , 0.017656 , 0.944481 , 0.945240 , 0.132470 , 0.209133 , 0.919059 , 0.827730 , 0.094761 , 0.999235 , 1.068724 , 0.047682 , 0.023102 , 0.035132 
lassen, Base_Seq , default  , 0.151926 , 0.152653 , 0.991649 , 0.282216 , 0.323412 , 0.284998 , 0.959603 , 0.875896 , 0.820054 , 0.217566 , 0.485372 , 0.056463 , 0.056481 , 0.009928 , 0.056204 , 0.142466 , 0.506420 , 0.472912 , 0.605423 , 0.040079 , 0.604310 , 0.669581 , 0.464815 , 0.720367 , 0.584734 , 0.707416 , 0.478096 , 4.090513 , 6.230920 , 0.295353 , 0.193480 , 0.515642 , 3.455383 , 4.727604 , 0.047407 , 0.119248 , 0.923585 , 1.475195 , 2.816223 , 0.185420 , 0.357059 , 0.632258 , 1.946136 , 0.523665 , 0.334988 , 0.170053 , 0.673675 , 0.476019 , 0.695231 , 0.981412 , 0.013392 , 0.012481 , 0.944523 , 0.945666 , 0.132402 , 0.208003 , 0.919120 , 0.827787 , 0.095252 , 0.999301 , 1.070068 , 0.047664 , 0.023195 , 0.036457 
corona, Base_Seq , default  , 0.119807 , 0.118383 , 0.808197 , 0.260568 , 0.251837 , 0.386046 , 0.730835 , 0.713647 , 0.612600 , 0.272062 , 0.370586 , 0.038177 , 0.038389 , 0.007388 , 0.033369 , 0.105410 , 0.382390 , 0.422295 , 0.460335 , 0.030637 , 0.469071 , 0.452023 , 0.438543 , 0.334174 , 0.638623 , 0.338474 , 0.569559 , 1.962568 , 3.061028 , 0.191228 , 0.090115 , 0.371269 , 1.942425 , 2.242355 , 0.021841 , 0.061879 , 0.473177 , 0.781540 , 1.359402 , 0.090528 , 0.387940 , 0.407446 , 1.013715 , 0.402886 , 0.404815 , 0.229149 , 0.432840 , 0.657320 , 0.641698 , 0.490019 , 0.007896 , 0.007906 , 0.447098 , 0.445633 , 0.137696 , 0.329041 , 0.762987 , 0.339537 , 0.050312 , 0.914111 , 0.976733 , 0.023101 , 0.008312 , 0.022969 
corona, Base_Seq , default  , 0.118936 , 0.122769 , 0.805720 , 0.256629 , 0.248588 , 0.388997 , 0.715899 , 0.698136 , 0.604566 , 0.272569 , 0.365557 , 0.037860 , 0.038332 , 0.007437 , 0.033116 , 0.103830 , 0.383834 , 0.404184 , 0.488478 , 0.030813 , 0.477505 , 0.448703 , 0.408860 , 0.337732 , 0.645160 , 0.341001 , 0.584894 , 1.948048 , 2.941458 , 0.190810 , 0.092861 , 0.393288 , 2.054525 , 2.351173 , 0.022724 , 0.063944 , 0.453587 , 0.850785 , 1.397442 , 0.089922 , 0.407757 , 0.391893 , 1.022846 , 0.388063 , 0.420210 , 0.223323 , 0.430103 , 0.667937 , 0.611849 , 0.488896 , 0.007810 , 0.007965 , 0.443136 , 0.443821 , 0.137510 , 0.327638 , 0.780975 , 0.337892 , 0.050183 , 0.910649 , 0.972388 , 0.023079 , 0.008613 , 0.022644 
corona, Base_Seq , default  , 0.123425 , 0.123520 , 0.802287 , 0.259158 , 0.252219 , 0.385217 , 0.731108 , 0.716475 , 0.616930 , 0.270798 , 0.368966 , 0.038063 , 0.038138 , 0.007387 , 0.031660 , 0.105201 , 0.380991 , 0.395587 , 0.527519 , 0.030679 , 0.496157 , 0.448996 , 0.444429 , 0.334220 , 0.632924 , 0.341500 , 0.573475 , 1.948820 , 3.041958 , 0.191650 , 0.089936 , 0.387026 , 1.990073 , 2.261494 , 0.022132 , 0.062506 , 0.455666 , 0.857385 , 1.342092 , 0.090995 , 0.404241 , 0.412591 , 1.004449 , 0.405063 , 0.404102 , 0.220560 , 0.428796 , 0.633291 , 0.609772 , 0.487450 , 0.007844 , 0.008107 , 0.442196 , 0.444719 , 0.137278 , 0.327991 , 0.758412 , 0.337766 , 0.048804 , 0.906672 , 0.965573 , 0.023217 , 0.008051 , 0.022243 
tioga, Base_Seq , default  , 0.065076 , 0.065017 , 0.868334 , 0.263536 , 0.221220 , 0.197589 , 0.857942 , 0.850303 , 0.608321 , 0.153358 , 0.396988 , 0.036554 , 0.036543 , 0.004885 , 0.024861 , 0.103678 , 0.355239 , 0.327202 , 0.271217 , 0.024718 , 0.285792 , 0.298297 , 0.233357 , 0.309876 , 0.441589 , 0.314494 , 0.281975 , 2.078145 , 3.131330 , 0.208039 , 0.096231 , 0.213790 , 1.262735 , 2.368139 , 0.023325 , 0.059080 , 0.426434 , 0.540249 , 1.208096 , 0.096295 , 0.179731 , 0.213625 , 0.982257 , 0.213881 , 0.188811 , 0.161697 , 0.425698 , 0.473384 , 0.472227 , 0.524654 , 0.008673 , 0.008618 , 0.386097 , 0.386042 , 0.126556 , 0.398202 , 0.539849 , 0.345206 , 0.049133 , 0.945569 , 1.049436 , 0.024667 , 0.008412 , 0.012032 
