machine,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,core,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_HALOEXCHANGE,Apps_HALOEXCHANGE_FUSED,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY
boraxo,0.008790944,0.15323904,-0.2060369,-0.16824202,-0.16499922,-0.069872275,0.1107661,0.2080447,-0.107854865,-0.3391889,0.7766553334125179,-0.5299739739049545,-0.5266916148572162,-0.509105188998577,-0.5378717239532453,-0.5469775795993561,-0.5423543940166023,-0.5303291487223278,-0.5027633178042713,-0.461829979818029,-0.5459575594642113,-0.5189081443194751,-0.02698596680793218,-0.46896981126003484,-0.02350698754420926,-0.5028007219121176,-0.49481160541168856,-0.3116938766321383,-0.5240276437875745,-0.5179002016212223,-0.43834929171137865,-0.515593655828203,-0.2739805579146775,-0.5061491640845006,-0.37982691232722976,-0.3878186895297628,-0.37740569186352674,-0.502676185897281,-0.22878970453992473,-0.22057120575664543,-0.5653695396827397,-0.290604165777489,-0.5137615961794654,-0.5005261167368964,-0.2073379015253736,-0.31373202372991593,-0.5801785658130955,-0.5233070378753383,-0.5068253259267135,-0.5042083313792886,-0.31289222448365606,-0.5026250559046245,-0.5173503679130479,-0.4928726891674821,-0.5194976085940199,-0.5015458135635882,-0.5654096990854656,-0.48614488138999773,-0.5564415154258203,-0.46439547116795615,-0.5321851547559547,0.9383837676948668,0.7761094754793134,-0.5074483501407722,-0.4996589826520164,-0.5536999483766604,-0.5089897636354803,-0.5202097902894243,-0.4952287229401626,-0.5960941985221575,,,-0.37440698971799335,-0.4949577887311593,-0.5184787251098427
boraxo,0.008790944,0.15323904,-0.2060369,-0.16824202,-0.16499922,-0.069872275,0.1107661,0.2080447,-0.107854865,-0.3391889,0.04968681058780047,-0.4250830529868059,0.010632882664034109,-0.4398517699539703,-0.45604091501017097,-0.5089150686201934,-0.4885434028662936,-0.49637378187740566,-0.4851744951842215,-0.3946724566157178,-0.4898170666128219,-0.5005457009660721,-0.05062439501122957,-0.44266056175317453,-0.4236106659877847,-0.5258544095583806,-0.45646688866261553,-0.3478168606677759,-0.47626746726911273,-0.4111306394310479,-0.4570476326508443,-0.41307428777813804,-0.22895739041116112,-0.4435673322774774,-0.37871131202404,-0.4050210454081549,-0.3587297233048154,-0.4552845868512886,-0.061200504899430686,-0.05478003429049765,-0.4965312981751437,-0.12466054146119226,-0.4490630778464122,-0.4349715279347602,-0.03648288625443299,-0.21454404148967599,-0.5290912308734719,-0.3877602930977019,-0.41544714492474777,-0.41361508616083786,-0.1429251001595461,-0.43899460748688834,-0.4127642876673811,-0.41613149556948265,-0.4152382772640183,-0.4374991414104459,-0.5043261869559305,-0.3866577407212365,-0.4850162577073633,-0.4370598840694792,-0.40944955156216956,0.37155987683984465,0.03534825516250756,-0.4219031111711363,-0.40623652826795226,-0.4872459213427281,0.03697267947051405,-0.4645008271228482,-0.34927451840901513,-0.5135705631526611,,,-0.37818429743803883,-0.4656145120786193,-0.4180799511137035
boraxo,0.008790944,0.15323904,-0.2060369,-0.16824202,-0.16499922,-0.069872275,0.1107661,0.2080447,-0.107854865,-0.3391889,-0.03108746972605702,-0.3992199147431222,0.1425764146965582,-0.4190541166930618,-0.4368849152274838,-0.49963088878156364,-0.4414972093952187,-0.4915299936487517,-0.4845106273666681,-0.40176538649906857,-0.44240473799612406,-0.4958384982506891,-0.06619674292545558,-0.4333433605472636,-0.5338559519985532,-0.5389051412089769,-0.4483084382904723,-0.36559046373521936,-0.44658304242762487,-0.3861590810719439,-0.46059724296371746,-0.3878795771221477,-0.40872456190569334,-0.42083305093876716,-0.3761980634854771,-0.3647501892693269,-0.34528218151291745,-0.42463631737350505,-0.025140529880589013,-0.0198804243001307,-0.4740101883301328,-0.07848397569397034,-0.42771807518428845,-0.4165357633474693,0.0022983567502184764,-0.1814153346767153,-0.4938280596082875,-0.3570851917626529,-0.38961210223999154,-0.3957421965051748,-0.10468937566190764,-0.4183139343796252,-0.38664006635329246,-0.39602011854974023,-0.38899604883987976,-0.4158917853599142,-0.4863213921402555,-0.360513362599313,-0.46541063792441106,-0.4010025620864069,-0.37923986824554423,0.09703851936139433,-0.03235101729898753,-0.40329367369321945,-0.3858617812096524,-0.470420927228055,0.17227716504970278,-0.42957219148666165,-0.33943995560370116,-0.49761341247967217,,,-0.3823550747122556,-0.4690841562773993,-0.3985783413817504
boraxo,0.008790944,0.15323904,-0.2060369,-0.16824202,-0.16499922,-0.069872275,0.1107661,0.2080447,-0.107854865,-0.3391889,-0.31379745082455823,-0.43846812028188964,-0.03795084958455935,-0.44196925774667706,-0.3748626218747794,-0.5061639573384494,-0.46004235268977706,-0.5184562113338331,-0.4803314447218484,-0.40404089998217924,-0.4816640016597026,-0.5077401970581437,-0.1468965681907669,-0.4451240929194832,-0.619327016433868,-0.5683669725399638,-0.45430641013814055,-0.2918507767656844,-0.47483152642034077,-0.4251401069172571,-0.3617112485783219,-0.426800454159978,-0.21979743750820224,-0.44855881219137567,-0.3754048036762113,-0.38549023528911525,-0.35048246062553523,-0.4585138713636553,-0.3023564112575814,-0.3005597089179587,-0.3950006710853812,-0.3287839539368311,-0.45522558667950924,-0.4407859537371808,-0.3152824765200855,-0.32538254981007203,-0.49165177602602195,-0.4310642625858816,-0.4264865988624503,-0.42261258922171957,-0.35447260758925075,-0.44552711931540734,-0.4218819976859553,-0.42647219839353673,-0.4251601112574467,-0.44444917912233084,-0.4858136647376443,-0.3622303814246332,-0.46287304595763,-0.4354151739673479,-0.41199593337116924,-0.2590632209356978,-0.2435409322942289,-0.3410359854326797,-0.34451910963127613,-0.47718852262613576,-0.09087576471597117,-0.45879283726316905,-0.36121538127971914,-0.39194222925351746,,,-0.356071308493606,-0.46323532748517005,-0.4283053526766966
boraxo,0.008790944,0.15323904,-0.2060369,-0.16824202,-0.16499922,-0.069872275,0.1107661,0.2080447,-0.107854865,-0.3391889,-0.354184590981487,-0.40980153878543696,0.09011870681961456,-0.4194363710214364,-0.3438281710624385,-0.4947130311442697,-0.43092209906436035,-0.5074651313563936,-0.4920752909113357,-0.3583762738254863,-0.43146514226986143,-0.4860447805799781,-0.1477202689249566,-0.4439554948021316,-0.6205657275126407,-0.555081796608219,-0.44761345918469714,-0.34889054486794685,-0.4423963662556469,-0.3976914412525935,-0.3354105926380569,-0.39913248107801974,-0.23270062338579633,-0.4212439590477741,-0.3709121830421469,-0.3670246329734645,-0.34374813435926294,-0.4272352399145374,-0.29558782985678317,-0.29235462891968644,-0.3598495266989849,-0.3237996035705345,-0.43164280148022727,-0.4169583359290207,-0.30619482896064365,-0.3364782889340301,-0.47402019039342974,-0.40343375923116914,-0.39930613535498266,-0.3969118432820426,-0.347981046537819,-0.42147265390321303,-0.3934783488672231,-0.4031515776281632,-0.39716610136588143,-0.42037819030079515,-0.45972428743423666,-0.33787084615647295,-0.44373642006952846,-0.39948976559314964,-0.38040603730589767,-0.3049508276850056,-0.27592661354411324,-0.3146034337300834,-0.31714307101655137,-0.45940478583006783,0.029797525873656725,-0.42786885987905043,-0.33600173049696147,-0.3540820225441206,,,-0.35009057127020066,-0.4867297753454809,-0.40392834051175525
boraxo,0.008790944,0.15323904,-0.2060369,-0.16824202,-0.16499922,-0.069872275,0.1107661,0.2080447,-0.107854865,-0.3391889,-0.515733151609202,-0.07862877178838568,1.2088413109054925,-0.18699053173416066,-0.055316309198129895,-0.361359641807234,-0.015850124298614803,-0.325979904566342,-0.2952593054290706,-0.16626965796413568,-0.02510189631731166,-0.29886973575072606,-0.16503238897138459,-0.3672386075846481,-0.6168495942763227,-0.29422345978372455,-0.35105668820623936,-0.1573594420304394,-0.05171356152994965,-0.02314702485431797,-0.043951251357416614,-0.020833350475472735,-0.2499927322360134,-0.029224452923465077,-0.1515015563694306,-0.15145057825042121,-0.2423180624657948,-0.056149247013073604,-0.19734782853266894,-0.20036806894636566,-0.10563067836763598,-0.22560622312204628,-0.06658692017375843,-0.040875943336889244,-0.23547484363697452,-0.3808216177901342,-0.2360306705158469,-0.17155111892010314,-0.06967264672034573,-0.061635361394048745,-0.2229647582095835,-0.043048208271750654,-0.025610958919450432,-0.1717565618547709,-0.03789814322837193,-0.03680094104609135,-0.24758536370218767,-0.07722310485001647,-0.24066206359920583,-0.08027286548069282,-0.08078177778026725,-0.5010002475201584,-0.3568475896516725,-0.034589270129608295,-0.04056059815721406,-0.2596855260822613,1.1173032961688214,-0.08133709767627173,-0.08127106633884928,0.05217541833319222,,,-0.2595138798999438,-0.18477159736022183,-0.07028686250911495
boraxo,0.00879091,0.15323907,-0.2060368,-0.16824198,-0.16499928,-0.06987228,0.11076608,0.20804468,-0.1078549,-0.33918893,-0.5965074319230594,0.42381055784678884,3.485030353229832,0.1122240734632868,0.5077116162881485,-0.11473794525930697,0.3188204940683402,0.03364823229547561,0.05095878506038104,0.244677122753799,0.2888355871951416,0.031368205872207275,-0.1618206881465395,-0.19425450248371876,-0.2638169368261091,0.18036991335442848,-0.14354499216663402,0.14137489863950972,0.33257699038508515,0.5240196930929036,0.5708580246447167,0.5305039330769801,0.19696272943949844,0.38601926343875476,0.28613862125998396,0.23660462452419695,-0.13095186864131678,0.30978820285994946,0.004535301500573552,-0.016285617904981068,0.44660935106671107,0.09886323809673207,0.32254311956043125,0.4761043243752131,-0.09649959032240517,-0.06760475337668768,0.28967091616972523,0.292722889170682,0.4566091116121841,0.46814402994513865,0.07792554509485945,0.3788753551960261,0.5420631176418814,0.2028603258040368,0.5002560222825841,0.37387886198730985,0.10607931884490313,0.42682722610983614,0.16263918640841765,0.3471412606337442,0.5020960895250187,-0.4025951334727322,-0.33690552573912586,0.5242543794331354,0.5156481268602744,0.1178523027501181,3.291046670076916,0.30088828849440324,0.4500147314049156,0.8209394987625686,,,-0.030593293283021728,0.36888448407368224,0.48214369281815855
catalyst,-0.0026834905,0.16691972,-0.08256537,-0.1339091,-0.15775461,-0.06335916,-0.013357198,0.14496085,-0.1342041,-0.1927,0.29200965152937297,-0.43702059075921806,-0.3572357651350151,-0.185260327932044,-0.50758966381711,-0.44466119033106327,0.0036569957826277097,-0.4094632631505374,-0.37132483901892677,-0.3878309784411135,0.020813903229659314,-0.35879485142859396,-0.11902489125031959,-0.1886641817601722,-0.41339129958791015,-0.5145229359695395,-0.23023608149137048,0.3031708484960224,-0.32705432849981864,-0.4309341321886246,-0.4528831292129065,-0.43118367369069704,0.3148462639214176,-0.4525941405439309,-0.17189211089522607,-0.05237725077915787,-0.1428864740202069,-0.35691290357053423,-0.005446260682371128,-2.8146591609050263e-05,-0.449156409875981,-0.06995855486542277,-0.42677288591684537,-0.41668526686097634,0.012914043407925754,-0.06483081859569813,-0.5061111516912439,-0.36763254905167597,-0.4318965642726919,-0.39816639916424595,-0.09309914480451688,-0.4529432434142655,-0.4343147881406307,-0.450833513627211,-0.4334730657878235,-0.4501285009839084,-0.469384126735199,-0.38052145098999857,-0.45075457871032887,0.005977584678940201,-0.3788117808689587,0.5138744961613597,-0.014818139142349744,-0.4590129109480046,-0.4605542078612523,-0.43376311882178403,-0.30056823805048627,-0.2260344020572886,-0.3890102821426117,-0.5356672068055525,,,-0.35929775883781145,-0.38789448202594595,-0.43576946436613884
catalyst,-0.0026834905,0.16691972,-0.08256537,-0.1339091,-0.15775461,-0.06335916,-0.013357198,0.14496085,-0.1342041,-0.1927,-0.192636030353772,-0.3062848547559005,0.32113814607992347,-0.0748290643295031,-0.40985877580519425,-0.3159039296270125,0.04021211367662359,-0.23967357386162536,-0.20903977883641403,-0.2034670835124482,0.05436983423897073,-0.16736653492520462,-0.15696676128675885,0.14110157346327182,-0.5363333741560985,-0.4810755518590291,0.08537508197913225,0.3416087428621382,-0.27354326232895493,-0.3103867744185164,-0.37152158889185316,-0.3103546822896718,0.302284497686595,-0.3308152007765121,-0.1389025759702019,-0.04371606113272855,0.11504455520021628,-0.2934787684328444,0.3730802782695311,0.38430788647714087,-0.2941145049927387,0.26799550406150124,-0.3282009124793691,-0.2994384873283981,0.3962690763447362,0.441095257817064,-0.43056829107294115,-0.20805911077360303,-0.3100450730049712,-0.23906867856814562,0.26504586716414347,-0.3314452606234684,-0.30474420033319694,-0.37455949945551736,-0.3141646751005185,-0.34494175485265355,-0.3365287897185951,-0.17975875711300532,-0.3151064695157638,0.09032230419122306,-0.10457753126494847,-0.08696839259165681,-0.2267112136165884,-0.3273803789994379,-0.3308221027866141,-0.2534255003390366,0.44929649630139634,-0.21183838158153043,-0.1866583446105968,-0.3778379886240124,,,-0.3241215806948881,-0.2578323909173905,-0.322988031093295
catalyst,-0.0026834905,0.16691972,-0.08256537,-0.1339091,-0.15775461,-0.06335916,-0.013357198,0.14496085,-0.1342041,-0.1927,-0.354184590981487,-0.16974067750338162,1.0568101957727019,0.19784904301920123,-0.30857900079843237,-0.18232729975637468,0.3135086130531327,-0.053023182235392166,-0.030902731025162875,-0.058531314439389984,0.29512355116327216,-0.014926542101407559,-0.1482441093746706,0.47326769238722166,-0.5205398079017469,-0.41746300357408644,0.4019380646597184,0.1335051474140818,0.021070467546640635,-0.1674385254031674,-0.2662351160682847,-0.17161654241448884,-0.22529376305271617,-0.14861696482703599,0.05370090571954619,0.1397562310986039,0.3890549318798163,0.07910213316600181,0.7583906540890222,0.7614693007342991,-0.09463981636240365,0.5924230094691155,-0.1602389017952731,-0.1570747572771973,0.7772621696104188,0.5399662189394766,-0.3316396034858864,-0.046784736378964555,-0.1624474257134542,-0.06277352501950012,0.6160200686468512,-0.14930452720877982,-0.17672709192294966,-0.3005725726245451,-0.1791789490021916,-0.14591653312268416,-0.17936763063339742,0.02972110926176742,-0.16909443273409774,0.18080521652494125,0.17528090076937428,-0.1770915652977821,-0.2980876643371022,-0.19608113231993182,-0.2005627288570634,-0.05521015067969242,1.1917329999334316,0.08938094286919518,-0.002788157652347733,-0.2616577633601873,,,-0.29099144423365597,-0.09822875777350769,-0.19993805110318377
