machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_ruby_quartz
ruby,kripke.exe,1,4482142.857,29642857.14,7142857.143,63321428.57,1178571.429,785714.2857,35714.28571,35714.28571,6.401785714,16715289.93,13546052.67,938.7232143,19688.72321,1535714.286,1
ruby,kripke.exe,1,8125000,47660714.29,11482142.86,106875000,1196428.571,767857.1429,35714.28571,35714.28571,10.33928571,24634842.96,13646610.15,938.7142857,19688.71429,1571428.571,1.332
ruby,kripke.exe,1,13839285.71,77250000,18678571.43,178339285.7,1553571.429,767857.1429,35714.28571,35714.28571,7.589285714,37787414.54,13571254.94,938.7321429,19688.72321,1857142.857,1.250750751
ruby,kripke.exe,1,22089285.71,119000000,28767857.14,279267857.1,1964285.714,785714.2857,35714.28571,35714.28571,5.991071429,56244093.04,13651670.38,938.7232143,19688.72321,2000000,1.399759904
ruby,kripke.exe,1,32642857.14,172589285.7,41732142.86,408750000,2410714.286,785714.2857,35714.28571,35714.28571,7.383928571,79919896.81,13552237.65,938.7232143,19688.72321,2214285.714,1.333
ruby,kripke.exe,1,10000000,63660714.29,14839285.71,136232142.9,2357142.857,1553571.429,107142.8571,53571.42857,3.973214286,34181468.66,27095979.61,938.7232143,19688.72321,3392857.143,1.501501502
ruby,kripke.exe,1,20535714.29,113035714.3,25214285.71,252750000,2446428.571,1535714.286,107142.8571,53571.42857,18.05357143,52306683.03,27054722.57,938.7232143,19688.73214,3750000,1.399759904
ruby,kripke.exe,1,38053571.43,195339285.7,42517857.14,447000000,3071428.571,1553571.429,125000,71428.57143,7.535714286,82454013.9,27127263.96,938.7142857,19688.70536,3982142.857,1.572041166
ruby,kripke.exe,1,62535714.29,310446428.6,66732142.86,718714285.7,4017857.143,1571428.571,125000,71428.57143,10.4375,124791461.5,27118821.82,938.7232143,19688.72321,3928571.429,1.333333333
ruby,kripke.exe,1,94160714.29,458678571.4,97875000,1068553571,4875000,1571428.571,160714.2857,71428.57143,9.303571429,179140880.2,27140910.64,938.7321429,19688.72321,4625000,1.307940905
ruby,kripke.exe,1,2214285.714,14392857.14,3517857.143,30803571.43,553571.4286,392857.1429,0,17857.14286,7.678571429,8294193.571,6861066.188,938.7142857,19688.71429,714285.7143,1.501501502
ruby,kripke.exe,1,3500000,21571428.57,5464285.714,48482142.86,607142.8571,392857.1429,0,17857.14286,3.0625,11934530.37,6752163.241,938.7232143,19688.72321,732142.8571,1
ruby,kripke.exe,1,5821428.571,33785714.29,8714285.714,78571428.57,696428.5714,392857.1429,0,17857.14286,7.419642857,18066345.54,6801909.527,938.7232143,19688.73214,839285.7143,1
ruby,kripke.exe,1,8821428.571,50535714.29,13250000,119857142.9,803571.4286,392857.1429,0,17857.14286,6.75,26582694.23,6816837.563,938.7232143,19688.73214,928571.4286,1.332
ruby,kripke.exe,1,12821428.57,72250000,19089285.71,173392857.1,1035714.286,392857.1429,17857.14286,17857.14286,3.258928571,37543874.59,6781382.071,938.7321429,19688.72321,928571.4286,1.666
ruby,kripke.exe,1,2875000,28053571.43,5464285.714,51785714.29,1178571.429,589285.7143,35714.28571,17857.14286,10.66964286,16730073.06,13592711.3,938.7321429,19688.72321,1660714.286,1.501501502
ruby,kripke.exe,1,6303571.429,45821428.57,9767857.143,94714285.71,1196428.571,589285.7143,35714.28571,17857.14286,6.339285714,24620163.56,13582736.82,938.7232143,19688.72321,1714285.714,1
ruby,kripke.exe,1,12125000,75553571.43,16964285.71,166535714.3,1517857.143,589285.7143,35714.28571,17857.14286,5.901785714,37805532.17,13583619.54,938.7232143,19688.72321,1839285.714,1
ruby,kripke.exe,1,20303571.43,117196428.6,27053571.43,267196428.6,1964285.714,607142.8571,35714.28571,17857.14286,5.785714286,56243438.29,13489004.55,938.7232143,19688.72321,2142857.143,1.501501502
ruby,kripke.exe,1,30910714.29,170875000,40035714.29,396964285.7,2428571.429,607142.8571,35714.28571,17857.14286,3.044642857,79931052.63,13463639.71,938.7232143,19688.73214,2303571.429,1.166
ruby,kripke.exe,1,6892857.143,60660714.29,11482142.86,113607142.9,2339285.714,1196428.571,107142.8571,53571.42857,4.241071429,34198387.71,27095020.02,938.7232143,19688.72321,3285714.286,1.250750751
ruby,kripke.exe,1,17160714.29,109696428.6,21821428.57,229285714.3,2446428.571,1178571.429,107142.8571,53571.42857,4.232142857,52314296.63,27070846.63,938.7321429,19688.72321,3535714.286,1.200480192
ruby,kripke.exe,1,34642857.14,191946428.6,39107142.86,423428571.4,2964285.714,1178571.429,107142.8571,53571.42857,7.205357143,82503709.47,27153547.49,938.7232143,19688.72321,4035714.286,1.2864494
ruby,kripke.exe,1,59125000,307053571.4,63321428.57,695107142.9,3892857.143,1196428.571,125000,53571.42857,3.857142857,124762597.2,27173388.66,938.7232143,19688.72321,4142857.143,1.200480192
ruby,kripke.exe,1,90625000,455142857.1,94428571.43,1044625000,4571428.571,1214285.714,142857.1429,53571.42857,5.589285714,179120008,27212941.83,938.7142857,19688.71429,4589285.714,1.307940905
ruby,kripke.exe,1,1339285.714,13517857.14,2660714.286,24803571.43,553571.4286,303571.4286,0,0,6.008928571,8271573.527,6893031,938.7142857,19688.70536,732142.8571,1.501501502
ruby,kripke.exe,1,2714285.714,20821428.57,4625000,42803571.43,607142.8571,285714.2857,0,0,9.946428571,11970718.61,6795893.304,938.7142857,19688.71429,732142.8571,1.501501502
ruby,kripke.exe,1,4857142.857,32803571.43,7857142.857,72339285.71,696428.5714,303571.4286,0,0,4,18024031.38,6778032.929,938.7232143,19688.72321,839285.7143,1
ruby,kripke.exe,1,7946428.571,49660714.29,12392857.14,113910714.3,803571.4286,303571.4286,0,0,4.0625,26596857.2,6715295.607,938.7232143,19688.72321,964285.7143,1.332
ruby,kripke.exe,1,11910714.29,71321428.57,18232142.86,167303571.4,1053571.429,303571.4286,17857.14286,0,7.696428571,37586021.51,6770860.875,938.7232143,19688.73214,1053571.429,1
