machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
corona,TestDfft,1,1692000000,2178170350,1387795921,10964000000,340587522,-1,-1,-1,-1,-1,-1,293744,209248,4008859766,1
corona,TestDfft,1,1942000000,3027065900,1758415711,13634000000,727392925,-1,-1,-1,-1,-1,-1,293746,209248,21602968307,0.666666667
corona,TestDfft,1,3746000000,4169559504,2846434446,22692000000,1279766180,-1,-1,-1,-1,-1,-1,293744,209248,12218287830,0.571183533
corona,TestDfft,1,7174000000,7741391947,5354203811,43026000000,1597979752,-1,-1,-1,-1,-1,-1,293744,209248,19001097224,0.4165
corona,TestDfft,1,12408000000,13435868926,9294940919,74378000000,4150231042,-1,-1,-1,-1,-1,-1,293744,209259,41425946788,0.277666667
corona,TestDfft,1,14840000000,17488817692,13304391167,87232000000,7146890001,-1,-1,-1,-1,-1,-1,293744,209259,1.59E+11,0.096777315
corona,TestDfft,1,46000000,64142091,35290837,368000000,10387309,-1,-1,-1,-1,-1,-1,293744,209226,46128674,5.504504505
corona,TestDfft,1,278000000,557059792,299305393,2310000000,108180987,-1,-1,-1,-1,-1,-1,293744,209237,567265677,4.003003003
corona,TestDfft,1,2316000000,3737527051,2386677886,15782000000,743012364,-1,-1,-1,-1,-1,-1,293744,209820,9993594748,1.715265866
corona,TestDfft,1,17798000000,20577666319,15177934817,1.04E+11,8991516654,-1,-1,-1,-1,-1,-1,293744,209833,2.13E+11,0.231826087
corona,TestDfft,1,54000000,74216509,36914175,406000000,12062065,-1,-1,-1,-1,-1,-1,293744,209794,51574236,4.003003003
corona,TestDfft,1,322000000,634868352,362247373,2552000000,124109664,-1,-1,-1,-1,-1,-1,293744,209807,1574813138,10.00900901
corona,TestDfft,1,2690000000,3730643952,2292407821,17922000000,1027636525,-1,-1,-1,-1,-1,-1,293744,210392,15928674289,3.12528132
corona,TestDfft,1,20750000000,24642029500,18829939929,1.22E+11,10457863161,-1,-1,-1,-1,-1,-1,293744,210407,2.61E+11,0.169429472
corona,TestDfft,1,60000000,79971132,41251170,442000000,13506368,-1,-1,-1,-1,-1,-1,293744,210362,60822630,20.51951952
corona,TestDfft,1,378000000,683618184,396858444,2860000000,143717787,-1,-1,-1,-1,-1,-1,293744,210377,1029953046,3.501501502
corona,TestDfft,1,2462000000,2973471872,1947261334,15418000000,509716845,-1,-1,-1,-1,-1,-1,293744,210678,5827242317,0.249249249
corona,TestDfft,1,5558000000,6007435140,4154297592,33226000000,1913308852,-1,-1,-1,-1,-1,-1,293744,210678,19235427600,0.444
corona,TestDfft,1,10702000000,11368685521,7919796452,63648000000,2401086862,-1,-1,-1,-1,-1,-1,293744,210678,28507329819,0.142734676
corona,TestDfft,1,18484000000,19644110871,13700035764,1.10E+11,6537253412,-1,-1,-1,-1,-1,-1,293744,210694,61962175870,0.185111111
corona,TestDfft,1,3064000000,4589947653,3054780984,20066000000,1124663320,-1,-1,-1,-1,-1,-1,293744,210964,18109781660,0.461680517
corona,TestDfft,1,23700000000,28162445566,20999388041,1.39E+11,11796063393,-1,-1,-1,-1,-1,-1,293744,210981,2.92E+11,0.039176471
corona,TestDfft,1,66000000,86410273,43775408,478000000,15035681,-1,-1,-1,-1,-1,-1,293744,210930,66681571,49.19277108
corona,TestDfft,1,416000000,694618010,393753708,3068000000,160163825,-1,-1,-1,-1,-1,-1,293744,210947,803945043,4.504504505
corona,TestDfft,1,3436000000,4549821517,2855166979,22204000000,1258053504,-1,-1,-1,-1,-1,-1,293744,211538,36778190393,0.142734676
corona,TestDfft,1,26638000000,31031320004,23005309502,1.56E+11,13649038597,-1,-1,-1,-1,-1,-1,293746,211557,3.31E+11,0.051001041
corona,TestDfft,1,74000000,97579947,52389125,510000000,16569691,-1,-1,-1,-1,-1,-1,293744,211500,76368601,1
corona,TestDfft,1,468000000,785874571,482025046,3362000000,169420904,-1,-1,-1,-1,-1,-1,293744,211519,1279500510,2
corona,TestDfft,1,3232000000,3756130352,2500344019,19900000000,679641068,-1,-1,-1,-1,-1,-1,293744,212112,7583160328,1.399759904
corona,TestDfft,1,3804000000,4848239767,3095350053,24330000000,1489250072,-1,-1,-1,-1,-1,-1,293744,212112,16784733989,0.555333333
corona,TestDfft,1,7370000000,7842719722,5459329735,43680000000,2434574495,-1,-1,-1,-1,-1,-1,293744,212112,24254545673,5.000545554
corona,TestDfft,1,14224000000,14995122546,10529373615,84202000000,3193035441,-1,-1,-1,-1,-1,-1,293744,212112,38895688212,0.555333333
corona,TestDfft,1,24562000000,25846084773,18106029842,1.46E+11,8729976238,-1,-1,-1,-1,-1,-1,293744,212133,83150143517,0.028458769
corona,TestDfft,1,29588000000,34909243537,26012262336,1.73E+11,14239295926,-1,-1,-1,-1,-1,-1,293744,212133,3.05E+11,0.045411155
corona,TestDfft,1,82000000,101297719,55514037,550000000,18817580,-1,-1,-1,-1,-1,-1,293744,212070,79757660,1
corona,TestDfft,1,510000000,829746626,511494109,3594000000,197703701,-1,-1,-1,-1,-1,-1,293744,212091,1438000685,1.666
