machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
quartz,TestDfft,1,1178000000,1196000000,646000000,6298000000,64000000,82000000,34000000,40000000,3028,99499593,3349460,37797,2173193,268000000,1
quartz,TestDfft,1,2064000000,2236000000,1224000000,11432000000,104000000,142000000,64000000,78000000,2585,202560745,7721012,37804,2173201,714000000,1.5
quartz,TestDfft,1,358000000,810500000,372437500,2650562500,5187500,4000000,1187500,0,1118.46875,76874693.81,46372219.47,69909.84375,2106280.188,33500000,1.750750751
quartz,TestDfft,1,2466000000,2954000000,1630000000,14710000000,246000000,242000000,110000000,116000000,3060,152771732,2831102,37804,2173200,2554000000,2.400960384
quartz,TestDfft,1,349937500,567125000,256812500,1943062500,7750000,6000000,3750000,2000000,1112.71875,23302186.06,54848194.16,69909.84375,2106280.188,67250000,3.601440576
quartz,TestDfft,1,3100000000,2878000000,1562000000,16042000000,304000000,226000000,148000000,124000000,2036,216107024,3715511,37804,2173819,802000000,10.333
quartz,TestDfft,1,4636000000,4402000000,2386000000,24250000000,320000000,398000000,170000000,194000000,1731,317196248,5572217,37804,2173201,2760000000,0.181669394
quartz,TestDfft,1,752750000,1186437500,535687500,4073062500,11500000,11812500,4000000,3375000,1084.90625,67392550.97,116467298.6,69877.84375,2106279.188,162000000,0.249812453
quartz,TestDfft,1,6590000000,6574000000,3392000000,35102000000,488000000,484000000,268000000,282000000,2075,470206041,9402284,37804,2173199,2346000000,0.583
quartz,TestDfft,1,8916000000,8066000000,4378000000,45796000000,512000000,674000000,342000000,388000000,3441,554798441,6150266,37804,2173201,3414000000,4.313578395
quartz,TestDfft,1,1404437500,1879375000,847562500,6691437500,24062500,22000000,9000000,6000000,1094.6875,75927187.59,208750965.8,69909.84375,2106280.188,323062500,0.249812453
quartz,TestDfft,1,12026000000,12740000000,6718000000,66508000000,770000000,886000000,450000000,510000000,2794,667214692,2140012,37804,2173832,3726000000,0.099909991
quartz,TestDfft,1,15412000000,13574000000,7810000000,78274000000,1042000000,1350000000,578000000,674000000,3143,988375427,12387149,37804,2173212,7256000000,0.319971195
quartz,TestDfft,1,2774000000,3772125000,1704000000,13240000000,32437500,36000000,13812500,14000000,1114,149944864.9,359892085.1,69909.84375,2106280.531,481687500,5.902160864
quartz,TestDfft,1,18550000000,15452000000,9102000000,91458000000,1952000000,1634000000,1606000000,1130000000,2595,1046559997,4282318,37804,2173212,11742000000,0.048734085
