machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
corona,miniVite,1,,3031,53,4000000,46894,-1,-1,-1,-1,-1,-1,293744,206604,3,3.012048193
corona,miniVite,1,,94,2,4000000,63968,-1,-1,-1,-1,-1,-1,293744,206608,3,3.501501502
corona,miniVite,1,,2,1,2000000,38493,-1,-1,-1,-1,-1,-1,293744,206603,,2.006024096
corona,miniVite,1,2000000,3324,14,12000000,26311,-1,-1,-1,-1,-1,-1,293744,206609,4,1
corona,miniVite,1,,3,2,2000000,74657,-1,-1,-1,-1,-1,-1,293744,206606,3,6.024096386
corona,miniVite,1,,3,2,4000000,38200,-1,-1,-1,-1,-1,-1,293744,206606,4,1
corona,miniVite,1,2000000,3,2,4000000,82156,-1,-1,-1,-1,-1,-1,293744,206609,19,1
corona,miniVite,1,,1,1,2000000,30306,-1,-1,-1,-1,-1,-1,293744,206603,3,3.003003003
corona,miniVite,1,2000000,8196,66,14000000,141963,-1,-1,-1,-1,-1,-1,293744,206610,4,1
corona,miniVite,1,,2,2,2000000,18680,-1,-1,-1,-1,-1,-1,293744,206606,2,6.024096386
corona,miniVite,1,,3,2,4000000,57292,-1,-1,-1,-1,-1,-1,293744,206605,217033,2.006024096
corona,miniVite,1,,3,53,4000000,48150,-1,-1,-1,-1,-1,-1,293744,206609,4,2.006024096
corona,miniVite,1,,3,2,2000000,31348,-1,-1,-1,-1,-1,-1,293744,206605,4,6.024096386
corona,miniVite,1,2000000,8184,14,14000000,94293,-1,-1,-1,-1,-1,-1,293744,206610,422587,1
corona,miniVite,1,,3,1,4000000,50015,-1,-1,-1,-1,-1,-1,293744,206604,5,1
corona,miniVite,1,,2,2,4000000,16810,-1,-1,-1,-1,-1,-1,293744,206608,4,3.003003003
corona,miniVite,1,,3,1,4000000,113649,-1,-1,-1,-1,-1,-1,293744,206609,1212,2.006024096
corona,miniVite,1,,3,1,2000000,69900,-1,-1,-1,-1,-1,-1,293744,206605,,3.003003003
corona,miniVite,1,2000000,8559,3,14000000,114072,-1,-1,-1,-1,-1,-1,293744,206610,4,2.006024096
corona,miniVite,1,,96,1,2000000,32353,-1,-1,-1,-1,-1,-1,293744,206606,3,1
corona,miniVite,1,,3,7,4000000,50647,-1,-1,-1,-1,-1,-1,293744,206608,4,6.024096386
corona,miniVite,1,,3189,16,4000000,25251,-1,-1,-1,-1,-1,-1,293744,206609,961,1.501501502
corona,miniVite,1,,2,1,2000000,36468,-1,-1,-1,-1,-1,-1,293744,206605,3,2.006024096
corona,miniVite,1,2000000,3622,655,12000000,99916,-1,-1,-1,-1,-1,-1,293744,206609,86832,6.024096386
corona,miniVite,1,,3,2,2000000,75860,-1,-1,-1,-1,-1,-1,293744,206607,2,1
corona,miniVite,1,,3,2,4000000,70998,-1,-1,-1,-1,-1,-1,293744,206609,2,3.003003003
corona,miniVite,1,,8864,3,4000000,21099,-1,-1,-1,-1,-1,-1,293744,206607,15,1
corona,miniVite,1,,2,2,2000000,48162,-1,-1,-1,-1,-1,-1,293744,206605,5,1.501501502
corona,miniVite,1,2000000,3628,17,14000000,121587,-1,-1,-1,-1,-1,-1,293744,206609,4,3.003003003
corona,miniVite,1,,3,1,2000000,64983,-1,-1,-1,-1,-1,-1,293744,206606,3,1.501501502
corona,miniVite,1,,85,2,4000000,,-1,-1,-1,-1,-1,-1,293744,206606,4,1.501501502
corona,miniVite,1,,284288,3,4000000,108274,-1,-1,-1,-1,-1,-1,293744,206607,43,5.018072289
