"tf.Tensor(0.0020050086208328204, shape=(), dtype=float64)"
"tf.Tensor(0.00203361553559653, shape=(), dtype=float64)"
"tf.Tensor(0.002049050777885377, shape=(), dtype=float64)"
"tf.Tensor(0.0019956285059454268, shape=(), dtype=float64)"
"tf.Tensor(0.0019003526958232002, shape=(), dtype=float64)"
"tf.Tensor(0.0019564055257228724, shape=(), dtype=float64)"
"tf.Tensor(0.0031756634711922324, shape=(), dtype=float64)"
"tf.Tensor(0.001985955024091326, shape=(), dtype=float64)"
"tf.Tensor(0.002096580531662248, shape=(), dtype=float64)"
"tf.Tensor(0.001987404893668659, shape=(), dtype=float64)"
"tf.Tensor(0.0020248856222562055, shape=(), dtype=float64)"
"tf.Tensor(0.0019483682111321016, shape=(), dtype=float64)"
"tf.Tensor(0.0018141313482217304, shape=(), dtype=float64)"
"tf.Tensor(0.0019500084204735458, shape=(), dtype=float64)"
"tf.Tensor(0.002006925636463043, shape=(), dtype=float64)"
"tf.Tensor(0.0019725120204943324, shape=(), dtype=float64)"
"tf.Tensor(0.0020179152411398294, shape=(), dtype=float64)"
"tf.Tensor(0.001999972233968171, shape=(), dtype=float64)"
